DATE-YMD,TEMP= Reynolds OI-SST-v2 Temperature (C),
2008-07-15,      22.478,
2008-08-15,      24.571,
2008-09-15,      24.412,
2008-10-15,      20.877,
2008-11-15,      18.955,
2008-12-15,      17.405,
2009-01-15,      17.401,
2009-02-15,      18.081,
2009-03-15,      18.323,
2009-04-15,      18.188,
2009-05-15,      18.707,
2009-06-15,      19.900,
2009-07-15,      22.743,
2009-08-15,      24.668,
2009-09-15,      25.151,
2009-10-15,      22.176,
2009-11-15,      20.284,
2009-12-15,      19.926,
2010-01-15,      18.848,
2010-02-15,      20.255,
2010-03-15,      19.483,
2010-04-15,      19.598,
2010-05-15,      18.534,
2010-06-15,      20.046,
2010-07-15,      21.850,
2010-08-15,      24.300,
2010-09-15,      26.235,
2010-10-15,      22.342,
2010-11-15,      21.346,
2010-12-15,      21.284,
2011-01-15,      19.045,
2011-02-15,      18.444,
2011-03-15,      19.057,
2011-04-15,      18.806,
2011-05-15,      19.536,
2011-06-15,      20.460,
2011-07-15,      22.033,
2011-08-15,      23.013,
2011-09-15,      23.154,
2011-10-15,      23.942,
2011-11-15,      18.946,
2011-12-15,      18.130,
2012-01-15,      17.338,
2012-02-15,      16.731,
2012-03-15,      18.518,
2012-04-15,      18.257,
2012-05-15,      18.694,
2012-06-15,      20.084,
2012-07-15,      21.899,
2012-08-15,      24.318,
2012-09-15,      24.867,
2012-10-15,      22.077,
2012-11-15,      19.997,
2012-12-15,      17.752,
2013-01-15,      17.553,
2013-02-15,      18.588,
2013-03-15,      19.871,
2013-04-15,      19.338,
2013-05-15,      18.640,
2013-06-15,      19.431,
2013-07-15,      22.012,
2013-08-15,      25.814,
2013-09-15,      25.382,
2013-10-15,      22.184,
2013-11-15,      20.111,
2013-12-15,      19.008,
2014-01-15,      18.211,
2014-02-15,      17.843,
2014-03-15,      17.916,
2014-04-15,      18.058,
2014-05-15,      18.688,
2014-06-15,      19.668,
2014-07-15,      21.685,
2014-08-15,      23.034,
2014-09-15,      23.807,
2014-10-15,      22.303,
2014-11-15,      20.011,
2014-12-15,      18.270,
2015-01-15,      16.936,
2015-02-15,      17.464,
2015-03-15,      18.141,
2015-04-15,      18.124,
2015-05-15,      18.949,
2015-06-15,      19.425,
2015-07-15,      22.687,
2015-08-15,      24.783,
2015-09-15,      24.544,
2015-10-15,      23.518,
2015-11-15,      20.054,
2015-12-15,      18.943,
2016-01-15,      19.244,
2016-02-15,      18.893,
2016-03-15,      18.675,
2016-04-15,      18.425,
2016-05-15,      18.778,
2016-06-15,      19.470,
2016-07-15,      21.686,
2016-08-15,      23.782,
2016-09-15,      23.612,
2016-10-15,      21.258,
2016-11-15,      20.305,
2016-12-15,      19.231,
2017-01-15,      17.898,
2017-02-15,      18.182,
2017-03-15,      19.406,
2017-04-15,      19.632,
2017-05-15,      19.362,
2017-06-15,      20.431,
2017-07-15,      21.228,
2017-08-15,      23.691,
2017-09-15,      23.051,
2017-10-15,      22.245,
2017-11-15,      21.194,
2017-12-15,      18.582,
2018-01-15,      17.206,
2018-02-15,      17.369,
2018-03-15,      18.884,
2018-04-15,      18.369,
2018-05-15,      18.201,
2018-06-15,      19.206,
2018-07-15,      20.882,
2018-08-15,      22.263,
2018-09-15,      23.557,
2018-10-15,      21.000,
2018-11-15,      18.641,
2018-12-15,      18.041,
2019-01-15,      17.446,
2019-02-15,      18.330,
2019-03-15,      19.419,
2019-04-15,      18.197,
2019-05-15,      18.666,
2019-06-15,      19.517,
2019-07-15,      20.791,
2019-08-15,      22.721,
2019-09-15,      23.810,
2019-10-15,      21.658,
2019-11-15,      19.122,
2019-12-15,      17.923,
2020-01-15,      17.115,
2020-02-15,      19.222,
2020-03-15,      19.385,
2020-04-15,      18.543,
2020-05-15,      18.437,
2020-06-15,      20.404,
2020-07-15,      22.239,
2020-08-15,      24.368,
2020-09-15,      26.750,
2020-10-15,      22.778,
2020-11-15,      21.066,
2020-12-15,      19.655,
2021-01-15,      17.839,
2021-02-15,      17.969,
2021-03-15,      17.694,
2021-04-15,      18.219,
2021-05-15,      18.737,
2021-06-15,      19.515,
2021-07-15,      21.238,
2021-08-15,      23.322,
2021-09-15,      24.123,
2021-10-15,      21.561,
2021-11-15,      20.806,
2021-12-15,      18.589,
