DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1990-02-15,       3.730,
1990-03-15,       4.380,
1990-04-15,       6.710,
1990-05-15,       3.550,
1990-06-15,       5.400,
1990-07-15,       7.600,
1990-08-15,       7.920,
1990-09-15,       4.890,
1990-10-15,       5.670,
1990-11-15,       5.470,
1990-12-15,       5.240,
1991-01-15,       5.360,
1991-02-15,       6.890,
1991-03-15,       7.310,
1991-04-15,       6.750,
1991-05-15,       6.730,
1991-06-15,       7.290,
1991-07-15,       6.800,
1991-08-15,       5.500,
1991-09-15,       5.600,
1991-10-15,       4.340,
1991-11-15,       3.590,
1991-12-15,       4.940,
1992-01-15,       8.720,
1992-02-15,       6.350,
1992-03-15,       4.580,
1992-04-15,       9.580,
1992-05-15,       9.270,
1992-06-15,       6.330,
1992-07-15,       5.510,
1992-08-15,       5.550,
1992-09-15,       4.140,
1992-10-15,       3.990,
1992-11-15,       6.730,
1992-12-15,       6.280,
1993-01-15,       6.630,
1993-02-15,       4.220,
1993-03-15,       6.100,
1993-04-15,       8.590,
1993-05-15,       4.870,
1993-06-15,       6.520,
1993-07-15,       7.230,
1993-08-15,       2.930,
1993-09-15,       4.990,
1993-10-15,       4.160,
1993-11-15,       4.250,
1993-12-15,       7.310,
1994-01-15,       6.290,
1994-02-15,       4.100,
1994-03-15,       7.390,
1994-04-15,       6.730,
1994-05-15,       7.170,
1994-06-15,       3.890,
1994-07-15,       3.850,
1994-08-15,       3.670,
1994-09-15,       4.620,
1994-10-15,       7.360,
1994-11-15,       4.310,
1994-12-15,       4.870,
1995-01-15,       5.980,
1995-02-15,       5.310,
1995-03-15,       5.810,
1995-04-15,       8.470,
1995-05-15,       7.570,
1995-06-15,       7.360,
1995-07-15,       7.080,
1995-08-15,       6.130,
1995-09-15,       6.280,
1995-10-15,       5.410,
1995-11-15,       4.520,
1995-12-15,       4.200,
1996-01-15,       5.870,
1996-02-15,       7.540,
1996-03-15,       4.370,
1996-04-15,       8.520,
1996-05-15,       4.480,
1996-06-15,       5.950,
1996-07-15,       7.800,
1996-08-15,       7.590,
1996-09-15,       6.910,
1996-10-15,       7.900,
1996-11-15,       6.650,
1996-12-15,       7.230,
1997-01-15,       5.610,
1997-02-15,       5.970,
1997-03-15,       7.260,
1997-04-15,       6.630,
1997-05-15,       5.620,
1997-06-15,       5.850,
1997-07-15,       3.080,
1997-08-15,       6.110,
1997-09-15,       7.490,
1997-10-15,       3.410,
1997-11-15,       6.600,
1997-12-15,       5.810,
1998-01-15,       6.580,
1998-02-15,       5.530,
1998-03-15,       7.320,
1998-04-15,       7.940,
1998-05-15,       8.630,
1998-06-15,       8.940,
1998-07-15,       6.510,
1998-08-15,       5.620,
1998-09-15,       5.150,
1998-10-15,       4.760,
1998-11-15,       2.570,
1998-12-15,       7.140,
1999-01-15,       9.580,
1999-02-15,       8.330,
1999-03-15,       8.280,
1999-04-15,       9.300,
1999-05-15,       8.440,
1999-06-15,       6.760,
1999-07-15,       7.570,
1999-08-15,       9.480,
1999-09-15,       5.000,
1999-10-15,       6.420,
1999-11-15,       3.750,
1999-12-15,       8.240,
2000-01-15,       5.560,
2000-02-15,       6.120,
2000-03-15,       6.660,
2000-04-15,       7.450,
2000-05-15,       8.280,
2000-06-15,      11.360,
2000-07-15,       9.790,
2000-08-15,       6.810,
2000-09-15,       5.690,
2000-10-15,       6.200,
2000-11-15,       4.310,
2000-12-15,       7.320,
2001-01-15,       6.700,
2001-02-15,       6.660,
2001-03-15,       9.760,
2001-04-15,      10.750,
2001-05-15,       9.780,
2001-06-15,       7.810,
2001-07-15,       8.390,
2001-08-15,       4.670,
2001-09-15,       5.960,
2001-10-15,       7.180,
2001-11-15,       6.140,
2001-12-15,       5.930,
2002-01-15,       6.410,
2002-02-15,       6.030,
2002-03-15,       5.290,
2002-04-15,       9.930,
2002-05-15,       9.190,
2002-06-15,       9.710,
2002-07-15,       6.770,
2002-08-15,       7.000,
2002-09-15,       4.890,
2002-10-15,       6.190,
2002-11-15,       6.660,
2002-12-15,       4.500,
2003-01-15,       7.270,
2003-02-15,       7.580,
2003-03-15,       2.930,
2003-04-15,       6.680,
2003-05-15,       6.740,
2003-06-15,       4.100,
2003-07-15,       8.140,
2003-08-15,       5.700,
2003-09-15,       7.150,
2003-10-15,       3.240,
2003-11-15,       6.260,
2003-12-15,       4.550,
2004-01-15,       3.690,
2004-02-15,       4.040,
2004-03-15,       6.900,
2004-04-15,       6.920,
2004-05-15,       5.850,
2004-06-15,       7.100,
2004-07-15,       6.670,
2004-08-15,       3.760,
2004-09-15,       7.730,
2004-10-15,       7.100,
2004-11-15,       4.960,
2004-12-15,       9.420,
2005-01-15,       7.070,
2005-02-15,       7.520,
2005-03-15,       8.030,
2005-04-15,       7.700,
2005-05-15,       4.370,
2005-06-15,       7.340,
2005-07-15,       7.830,
2005-08-15,       5.090,
2005-09-15,       6.480,
2005-10-15,       6.010,
2005-11-15,       7.290,
2005-12-15,       6.280,
2006-01-15,       8.560,
2006-02-15,       5.550,
2006-03-15,       8.770,
2006-04-15,       8.810,
2006-05-15,       7.590,
2006-06-15,       7.770,
2006-07-15,       4.710,
2006-08-15,       7.150,
2006-09-15,       6.740,
2006-10-15,       8.880,
2006-11-15,       5.280,
2006-12-15,       6.370,
2007-01-15,       6.160,
2007-02-15,       9.040,
2007-03-15,       8.850,
2007-04-15,       8.320,
2007-05-15,       9.870,
2007-06-15,       5.760,
2007-07-15,       6.710,
2007-08-15,       5.950,
2007-09-15,       6.310,
2007-10-15,       6.310,
2007-11-15,       5.130,
2007-12-15,       4.180,
2008-01-15,       6.920,
2008-02-15,       6.840,
2008-03-15,       8.410,
2008-04-15,       9.630,
2008-05-15,      10.510,
2008-06-15,       9.340,
2008-07-15,       8.580,
2008-08-15,       8.870,
2008-09-15,       4.460,
2008-10-15,       8.120,
2008-11-15,       4.520,
2008-12-15,       6.580,
2009-01-15,       8.080,
2009-02-15,      10.730,
2009-03-15,       8.780,
2009-04-15,       8.210,
2009-05-15,       9.700,
2009-06-15,       6.910,
2009-07-15,       6.910,
2009-08-15,       5.380,
2009-09-15,       7.500,
2009-10-15,       8.600,
2009-11-15,       8.910,
2009-12-15,       5.400,
2010-01-15,       4.910,
2010-02-15,       6.030,
2010-03-15,       8.790,
2010-04-15,       7.950,
2010-05-15,      10.170,
2010-06-15,       9.020,
2010-07-15,       7.970,
2010-08-15,       6.070,
2010-09-15,       6.060,
2010-10-15,       6.890,
2010-11-15,       6.320,
2010-12-15,       8.560,
2011-01-15,       6.730,
2011-02-15,      11.320,
2011-03-15,       8.700,
2011-04-15,      10.000,
2011-05-15,       7.650,
2011-06-15,       5.120,
2011-07-15,       7.430,
2011-08-15,       9.150,
2011-09-15,       8.190,
2011-10-15,       6.900,
2011-11-15,       7.830,
2011-12-15,       7.420,
2012-01-15,       5.370,
2012-02-15,       9.910,
2012-03-15,       5.870,
2012-04-15,       9.220,
2012-05-15,       6.300,
2012-06-15,       8.850,
2012-07-15,       5.930,
2012-08-15,       5.700,
2012-09-15,       3.700,
2012-10-15,       9.080,
2012-11-15,       7.070,
2012-12-15,       8.430,
2013-01-15,       7.400,
2013-02-15,       8.800,
2013-03-15,       9.600,
2013-04-15,       7.750,
2013-05-15,       9.480,
2013-06-15,      11.240,
2013-07-15,       9.300,
2013-08-15,       6.800,
2013-09-15,      11.110,
2013-10-15,       8.810,
2013-11-15,       8.880,
2013-12-15,       5.440,
2014-01-15,       6.430,
2014-02-15,       9.930,
2014-03-15,       7.390,
2014-04-15,       8.900,
2014-05-15,       7.640,
2014-06-15,       8.440,
2014-07-15,       6.910,
2014-08-15,       5.910,
2014-09-15,       4.000,
2014-10-15,       8.730,
2014-11-15,       7.850,
2014-12-15,       8.350,
2015-01-15,      10.950,
2015-02-15,       8.980,
2015-03-15,       9.780,
2015-04-15,       9.330,
2015-05-15,       7.190,
2015-06-15,       9.970,
2015-07-15,       7.430,
2015-08-15,      12.200,
2015-09-15,       8.540,
2015-10-15,       7.130,
2015-11-15,       7.840,
2015-12-15,       6.680,
2016-01-15,       5.910,
2016-02-15,      13.260,
2016-03-15,      10.060,
2016-04-15,      11.030,
2016-05-15,       8.090,
2016-06-15,       7.850,
2016-07-15,       7.030,
