SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
195/22,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,06/04/2022,ND,40,ND,ND,ND,ND,ND
196/22,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,05/04/2022,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment"
197/22,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,06/04/2022,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment"
198/22,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,05/04/2022,ND,ND,ND,ND,ND,ND,ND
199/22,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,06/04/2022,ND,ND,ND,1800,ND,ND,ND
201/22,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,11/04/2022,ND,ND,120,ND,ND,ND,ND
203/22,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,11/04/2022,ND,ND,ND,ND,ND,ND,ND
204/22,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,11/04/2022,ND,ND,ND,ND,ND,ND,ND
205/22,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,11/04/2022,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment"
206/22,Roach,B73AF,London PHA,TQ94909207,Paglesham,11/04/2022,ND,ND,ND,ND,ND,ND,ND
207/22,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,09/04/2022,ND,ND,ND,ND,ND,ND,ND
208/22,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,11/04/2022,ND,ND,ND,ND,ND,ND,ND
209/22,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,12/04/2022,ND,ND,ND,400,ND,ND,ND
210/22,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,12/04/2022,ND,ND,ND,ND,ND,ND,ND
211/22,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,12/04/2022,ND,ND,ND,ND,ND,ND,ND
212/22,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,12/04/2022,ND,40,ND,ND,ND,ND,ND
213/22,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,12/04/2022,ND,ND,ND,ND,ND,ND,ND
214/22,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,12/04/2022,ND,ND,ND,1400,ND,ND,ND
