SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
202/20,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2020-04-22,ND,ND,ND,2320,ND,ND,ND
203/20,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2020-04-22,ND,ND,ND,600,ND,ND,ND
204/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2020-04-23,ND,80,ND,1000,ND,ND,ND
205/20,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,2020-04-23,ND,80,ND,520,ND,ND,ND
206/20,Mevagissey Bay,B70AL,Cornwall PHA,SX02264678,Pentewan,2020-04-23,ND,280,ND,1200,ND,ND,ND
207/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-04-23,ND,680,ND,2040,ND,ND,ND
208/20,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2020-04-23,ND,120,ND,3480,ND,ND,ND
209/20,Start Bay,B078I,South Hams DC,SX84724671,Off Strete,2020-04-23,ND,ND,ND,8800,ND,ND,ND
210/20,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2020-04-23,ND,ND,ND,ND,ND,ND,ND
211/20,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2020-04-23,ND,ND,ND,ND,ND,ND,ND
212/20,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2020-04-27,ND,ND,ND,1100,ND,ND,ND
214/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,2020-04-27,ND,1000,ND,280,ND,ND,ND
215/20,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2020-04-27,ND,ND,ND,1240,ND,ND,ND
216/20,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2020-04-27,ND,ND,ND,ND,ND,ND,40
217/20,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2020-04-28,ND,40,ND,520,ND,ND,ND
218/20,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2020-04-28,ND,ND,ND,80,ND,ND,ND
219/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2020-04-28,ND,40,ND,ND,ND,ND,ND
220/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-04-28,ND,1760,ND,920,ND,ND,ND
221/20,Lyme Bay,B090V,Dorset Council,SY45918886,Lyme Bay Ensis West,2020-04-27,ND,40,ND,1520,ND,ND,ND
222/20,Portland,B25AJ,Dorset Council,SY68918032,Weymouth Bay,2020-04-27,ND,ND,ND,1560,ND,ND,ND
223/20,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2020-04-28,ND,ND,ND,ND,ND,ND,ND
224/20,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,2020-04-28,ND,ND,ND,ND,ND,ND,ND
225/20,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2020-04-28,ND,ND,ND,280,ND,ND,ND
226/20,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2020-04-29,ND,ND,ND,ND,ND,ND,ND
227/20,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2020-04-29,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
228/20,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2020-04-29,ND,ND,ND,ND,ND,ND,ND
229/20,Swale,B076P,Swale BC,TR01316497,The Causeway,2020-04-30,ND,ND,ND,ND,ND,ND,ND
230/20,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2020-04-29,ND,ND,ND,3200,ND,ND,ND
231/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2020-05-04,ND,ND,ND,ND,ND,ND,ND
232/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,2020-05-04,ND,280,ND,ND,ND,ND,ND
233/20,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2020-05-03,ND,ND,ND,1560,ND,ND,ND
234/20,Dart,B028B,South Hams DC,SX87415599,Waddeton,2020-05-04,ND,ND,ND,400,ND,ND,ND
235/20,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2020-05-04,ND,ND,ND,43900,ND,ND,ND
236/20,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2020-05-04,ND,ND,ND,4680,ND,ND,ND
237/20,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2020-05-04,ND,ND,ND,17100,ND,ND,ND
238/20,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2020-05-04,ND,ND,ND,3000,ND,ND,ND
239/20,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2020-05-04,120,ND,ND,4520,ND,ND,ND
240/20,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2020-05-05,ND,ND,ND,4800,ND,ND,ND
241/20,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2020-05-04,ND,ND,ND,ND,ND,ND,ND
242/20,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2020-05-05,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
244/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2020-05-04,ND,ND,ND,920,ND,ND,ND
245/20,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2020-05-04,ND,ND,ND,440,ND,ND,ND
246/20,Mevagissey Bay,B70AL,Cornwall PHA,SX02264678,Pentewan,2020-05-04,ND,ND,ND,1600,ND,ND,ND
247/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-05-04,ND,ND,ND,1240,ND,ND,ND
248/20,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2020-05-05,ND,ND,ND,560,ND,ND,ND
249/20,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,2020-05-05,ND,40,ND,1280,ND,ND,ND
250/20,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2020-05-05,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment,Unable to analyse too much sediment
251/20,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2020-05-05,ND,ND,ND,ND,ND,ND,ND
252/20,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2020-05-05,ND,100,ND,200,ND,ND,ND
253/20,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2020-05-04,ND,ND,ND,9200,ND,ND,ND
254/20,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2020-05-06,ND,ND,ND,35040,ND,ND,ND
255/20,Roach,B73AF,London PHA,TQ94909207,Paglesham,2020-05-06,ND,ND,ND,ND,ND,ND,ND
256/20,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2020-05-06,ND,ND,ND,15120,ND,ND,ND
257/20,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2020-05-06,ND,ND,ND,11360,ND,ND,ND
258/20,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2020-05-06,ND,ND,ND,4400,ND,ND,ND
259/20,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2020-05-06,ND,ND,ND,1600,ND,ND,ND
260/20,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2020-05-11,ND,ND,ND,2700,ND,ND,ND
261/20,The Wash,B003V,Boston BC,TF44234098,Toft,2020-05-12,ND,ND,ND,8800,ND,ND,ND
262/20,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2020-05-12,ND,40,ND,10880,ND,ND,ND
263/20,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2020-05-12,ND,ND,ND,1640,ND,ND,ND
264/20,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2020-05-12,ND,ND,ND,900,ND,ND,ND
265/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2020-05-12,ND,ND,ND,800,ND,ND,ND
266/20,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2020-05-12,ND,ND,ND,800,ND,ND,ND
267/20,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,2020-05-12,ND,ND,ND,ND,ND,ND,ND
268/20,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2020-05-12,ND,ND,ND,1600,ND,ND,ND
269/20,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,2020-05-11,ND,ND,ND,ND,ND,ND,ND
270/20,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2020-05-12,ND,ND,ND,700,ND,ND,ND
271/20,Lyme Bay,B090V,Dorset Council,SY45918886,Lyme Bay Ensis West,2020-05-12,ND,ND,ND,ND,ND,ND,ND
272/20,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2020-05-12,ND,ND,ND,ND,ND,ND,ND
273/20,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2020-05-13,ND,40,ND,600,ND,ND,ND
274/20,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2020-05-13,ND,40,ND,ND,ND,ND,ND
275/20,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2020-05-12,ND,ND,ND,2800,ND,ND,ND
277/20,Roach,B73AF,London PHA,TQ94909207,Paglesham,2020-05-18,ND,ND,ND,ND,ND,ND,ND
278/20,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2020-05-18,ND,ND,ND,ND,ND,ND,ND
279/20,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2020-05-18,ND,ND,ND,77900,ND,ND,ND
280/20,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2020-05-18,ND,ND,ND,71320,ND,ND,ND
281/20,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2020-05-18,ND,ND,ND,ND,ND,ND,ND
282/20,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2020-05-18,ND,ND,ND,ND,ND,ND,ND
283/20,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2020-05-18,ND,ND,ND,175600,ND,ND,ND
284/20,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2020-05-19,ND,ND,ND,920,ND,ND,ND
285/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2020-05-19,ND,120,ND,1120,ND,ND,ND
286/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2020-05-19,ND,40,ND,5000,ND,ND,ND
287/20,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,2020-05-19,ND,ND,ND,3640,ND,ND,ND
288/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,2020-05-18,ND,760,ND,9480,ND,ND,ND
289/20,Mevagissey Bay,B70AL,Cornwall PHA,SX02264678,Pentewan,2020-05-19,ND,40,ND,5600,ND,ND,ND
290/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-05-19,ND,120,ND,17320,ND,ND,ND
291/20,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2020-05-19,ND,ND,ND,280,ND,ND,ND
292/20,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2020-05-19,ND,ND,ND,1200,ND,ND,ND
293/20,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2020-05-19,ND,ND,ND,1400,ND,ND,ND
294/20,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2020-05-19,ND,ND,ND,ND,ND,ND,ND
295/20,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2020-05-19,ND,ND,ND,ND,ND,ND,ND
296/20,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,2020-05-19,ND,ND,ND,ND,ND,ND,ND
297/20,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2020-05-18,ND,200,ND,ND,ND,ND,ND
298/20,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2020-05-20,ND,ND,ND,ND,ND,ND,ND
299/20,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2020-05-20,ND,ND,ND,ND,ND,ND,ND
300/20,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2020-05-19,ND,ND,ND,2200,ND,ND,ND
302/20,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2020-05-20,ND,ND,ND,ND,ND,ND,ND
303/20,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2020-05-20,ND,ND,ND,ND,ND,ND,ND
304/20,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2020-05-18,ND,ND,ND,10000,ND,ND,ND
305/20,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2020-05-21,ND,ND,ND,592000,ND,ND,ND
306/20,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,2020-05-20,ND,ND,ND,11500,ND,ND,ND
307/20,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,2020-05-20,ND,ND,ND,ND,ND,ND,ND
308/20,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2020-05-26,ND,ND,ND,16200,ND,ND,40
309/20,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2020-05-26,ND,ND,ND,29400,ND,ND,ND
310/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2020-05-26,ND,ND,ND,17360,ND,ND,ND
311/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2020-05-25,ND,40,ND,2480,ND,ND,ND
312/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-05-25,40,40,ND,4480,ND,ND,ND
313/20,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2020-05-26,ND,ND,ND,ND,ND,ND,ND
314/20,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2020-05-26,ND,ND,ND,800,ND,ND,ND
315/20,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2020-05-26,ND,ND,ND,301600,ND,ND,ND
316/20,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2020-05-26,ND,ND,ND,ND,ND,ND,ND
317/20,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2020-05-25,ND,120,ND,ND,ND,ND,ND
318/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,2020-05-27,40,200,ND,45680,ND,ND,ND
319/20,Lyme Bay,B090V,Dorset Council,SY45918886,Lyme Bay Ensis West,2020-05-27,ND,ND,ND,ND,ND,ND,ND
320/20,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,2020-05-26,ND,ND,ND,ND,ND,ND,ND
321/20,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2020-05-26,ND,ND,ND,1064000,ND,ND,ND
322/20,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2020-05-26,ND,ND,ND,ND,ND,ND,ND
323/20,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2020-05-26,ND,ND,ND,ND,ND,ND,ND
324/20,Swale,B076P,Swale BC,TR01316497,The Causeway,2020-05-27,ND,ND,ND,ND,ND,ND,ND
325/20,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2020-05-27,ND,40,ND,360,ND,ND,1160
326/20,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2020-05-28,ND,ND,ND,464200,ND,ND,ND
327/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2020-06-01,ND,ND,ND,42600,ND,ND,ND
328/20,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2020-06-01,ND,40,ND,160,ND,ND,80
329/20,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2020-06-01,ND,ND,ND,213000,ND,ND,ND
330/20,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2020-06-01,ND,ND,ND,93800,ND,ND,ND
331/20,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2020-06-01,ND,ND,ND,1000,ND,ND,ND
332/20,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2020-06-02,ND,ND,ND,517000,ND,ND,ND
333/20,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2020-06-02,ND,ND,ND,ND,ND,ND,ND
335/20,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2020-06-02,ND,ND,ND,960,ND,ND,ND
336/20,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2020-06-03,ND,ND,ND,3160,ND,ND,ND
337/20,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,2020-06-02,ND,80,ND,3520,ND,ND,ND
338/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,2020-06-02,ND,ND,ND,136000,ND,ND,ND
339/20,Mevagissey Bay,B70AL,Cornwall PHA,SX02264678,Pentewan,2020-06-02,ND,160,ND,2160,ND,ND,ND
340/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-06-02,ND,200,ND,2240,ND,ND,80
341/20,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2020-06-03,ND,ND,ND,200,ND,ND,ND
342/20,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,2020-06-03,40,ND,ND,1480,ND,ND,ND
343/20,Roach,B73AF,London PHA,TQ94909207,Paglesham,2020-06-03,ND,ND,ND,ND,ND,ND,ND
344/20,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2020-06-03,ND,ND,ND,ND,ND,ND,ND
345/20,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2020-06-01,ND,80,ND,ND,ND,ND,ND
346/20,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2020-06-01,ND,160,ND,ND,ND,ND,ND
347/20,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2020-06-01,ND,ND,ND,3320,ND,ND,ND
348/20,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2020-06-04,ND,ND,ND,5200,ND,ND,ND
349/20,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2020-06-04,80,ND,ND,ND,ND,ND,ND
350/20,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,2020-06-03,ND,ND,ND,ND,ND,ND,ND
351/20,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2020-06-08,ND,ND,ND,378000,ND,ND,ND
352/20,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2020-06-08,ND,ND,ND,ND,ND,ND,ND
353/20,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2020-06-08,ND,ND,ND,ND,ND,ND,ND
354/20,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2020-06-08,ND,ND,ND,ND,ND,ND,ND
355/20,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2020-06-07,ND,1700,ND,ND,ND,ND,ND
356/20,Dart,B028B,South Hams DC,SX87415599,Waddeton,2020-06-08,ND,ND,ND,ND,ND,ND,ND
357/20,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2020-06-08,ND,ND,ND,2400,ND,ND,ND
358/20,The Wash,B003V,Boston BC,TF44234098,Toft,2020-06-09,ND,ND,ND,15120,ND,ND,ND
359/20,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2020-06-09,ND,80,ND,2480,ND,ND,160
360/20,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2020-06-09,ND,80,ND,ND,ND,ND,ND
361/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2020-06-09,ND,ND,ND,560,ND,ND,ND
362/20,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2020-06-09,ND,ND,ND,4400,ND,ND,ND
363/20,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,2020-06-09,ND,ND,ND,360,ND,ND,40
364/20,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,2020-06-09,ND,40,ND,13760,ND,ND,ND
365/20,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2020-06-09,ND,ND,ND,863000,ND,ND,ND
366/20,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2020-06-08,ND,40,ND,ND,ND,ND,ND
367/20,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2020-06-10,ND,ND,ND,1640,ND,ND,ND
368/20,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,2020-06-10,ND,ND,ND,ND,ND,ND,ND
369/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2020-06-09,ND,120,ND,23960,ND,ND,ND
370/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,2020-06-10,ND,120,ND,27080,ND,ND,80
371/20,Mevagissey Bay,B70AL,Cornwall PHA,SX02264678,Pentewan,2020-06-09,ND,200,ND,13800,ND,ND,ND
372/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-06-09,ND,240,ND,20880,ND,ND,ND
373/20,Lyme Bay,B090V,Dorset Council,SY45918886,Lyme Bay Ensis West,2020-06-09,ND,40,ND,ND,ND,ND,ND
374/20,Portland,B25AJ,Dorset Council,SY68918032,Weymouth Bay,2020-06-09,ND,ND,ND,ND,ND,ND,ND
375/20,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,2020-06-10,ND,ND,ND,15800,ND,ND,ND
376/20,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2020-06-10,ND,ND,ND,ND,ND,ND,ND
377/20,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2020-06-10,40,40,ND,ND,ND,ND,85000
378/20,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2020-06-15,ND,ND,ND,ND,ND,ND,ND
380/20,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2020-06-15,ND,ND,ND,ND,ND,ND,600
381/20,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2020-06-15,200,ND,ND,30400,ND,ND,ND
382/20,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,2020-06-15,ND,120,ND,147000,ND,ND,ND
383/20,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2020-06-15,ND,ND,ND,34700,ND,ND,100
384/20,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2020-06-14,ND,ND,ND,ND,ND,ND,ND
385/20,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2020-06-15,ND,ND,ND,200,ND,ND,ND
386/20,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2020-06-15,ND,ND,ND,ND,ND,ND,ND
387/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2020-06-16,ND,100,ND,90700,ND,ND,ND
388/20,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,2020-06-16,100,200,ND,21200,ND,ND,ND
389/20,Mevagissey Bay,B70AL,Cornwall PHA,SX02264678,Pentewan,2020-06-16,ND,320,ND,405000,ND,ND,ND
390/20,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2020-06-16,ND,280,ND,185000,ND,ND,ND
391/20,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2020-06-16,ND,ND,ND,80,ND,ND,ND
392/20,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2020-06-16,ND,ND,ND,4600,ND,ND,ND
393/20,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2020-06-16,ND,ND,ND,2000,ND,ND,ND
394/20,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2020-06-15,ND,ND,ND,960,ND,ND,ND
395/20,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2020-06-17,ND,ND,ND,6200,ND,ND,ND
396/20,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2020-06-16,ND,ND,ND,1200,ND,ND,ND
397/20,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,2020-06-16,ND,ND,ND,240,ND,ND,ND
398/20,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2020-06-17,ND,ND,ND,200,ND,ND,200
399/20,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2020-06-17,ND,ND,ND,2200,ND,ND,ND
400/20,Roach,B73AF,London PHA,TQ94909207,Paglesham,2020-06-18,ND,ND,ND,ND,ND,ND,ND
401/20,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2020-06-18,ND,ND,ND,ND,ND,ND,ND
402/20,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2020-06-22,ND,ND,ND,800,ND,ND,40
403/20,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,2020-06-22,ND,ND,ND,ND,ND,ND,ND
404/20,Dart,B028P,South Hams DC,SX87945350,Long Wood South,2020-06-22,100,100,ND,1400,ND,ND,ND
405/20,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,2020-06-22,ND,100,ND,5800,ND,ND,ND
406/20,Swale,B076P,Swale BC,TR01316497,The Causeway,2020-06-22,ND,ND,ND,ND,ND,ND,ND
407/20,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2020-06-23,ND,ND,ND,1880,ND,ND,ND
408/20,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2020-06-23,ND,ND,ND,ND,ND,ND,ND
409/20,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2020-06-22,ND,ND,ND,960,ND,ND,ND
410/20,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,2020-06-23,ND,ND,ND,55700,ND,ND,ND
411/20,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2020-06-23,ND,ND,ND,26900,ND,ND,ND
412/20,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2020-06-23,ND,ND,ND,30200,ND,ND,200
413/20,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2020-06-23,ND,40,ND,45560,ND,ND,ND
