SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,SampleCollectionMethod,DateSampleCollected,DateSampleArrivedAtLowestoft,DateOfAnalysisAndResultsReported,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,ActionRequired
40-18,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,SURFACE,2018-01-22,2018-01-23,2018-01-24,ND,ND,ND,ND,ND,ND,ND,
41-18,Blackwater,B14AD,Maldon DC,TM06910846,St Peters Flats,SURFACE,2018-01-22,2018-01-23,2018-01-24,ND,ND,ND,ND,ND,ND,ND,
42-18,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2018-01-22,2018-01-23,2018-01-24,ND,ND,ND,ND,ND,ND,ND,
43-18,Langstone Harbour,B019I,Portsmouth PHA,SU70940291,Stoke Common Lake,POLE,2018-01-22,2018-01-23,2018-01-24,ND,ND,ND,ND,ND,ND,ND,
44-18,The Wash,B003V,Boston BC,TF44234098,Toft,SURFACE,2018-01-22,2018-01-24,2018-01-25,ND,ND,ND,ND,ND,ND,ND,
45-18,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,TUBE,2018-01-22,2018-01-24,2018-01-25,UNABLE TO ANALYSE TOO MUCH SEDIMENT,,,,,,,Additional water sample requested
46-18,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,SURFACE,2018-01-22,2018-01-24,2018-01-25,ND,ND,ND,ND,ND,ND,ND,
47-18,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2018-01-22,2018-01-24,2018-01-25,ND,ND,ND,ND,ND,ND,ND,
48-18,Brixham,B082B,Torbay BC,SX90965741,Fishcombe Cove SW Corner,POLE,2018-01-22,2018-01-24,2018-01-25,ND,ND,ND,200,ND,ND,ND,
49-18,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,POLE,2018-01-24,2018-01-25,2018-01-26,ND,ND,ND,ND,ND,ND,ND,
50-18,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2018-01-29,2018-01-30,2018-01-31,ND,ND,ND,ND,ND,ND,ND,
51-18,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,SURFACE,2018-01-30,2018-01-31,2018-02-01,ND,ND,ND,200,ND,ND,ND,
52-18,Morecambe Bay - East,B047P,Lancaster CC,SD44196535,Bare Ayre East,POLE,2018-01-30,2018-01-31,2018-02-01,ND,ND,ND,ND,ND,ND,ND,
53-18,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2018-01-30,2018-01-31,2018-02-01,ND,ND,ND,ND,ND,ND,ND,
54-18,Lune,B066G,Wyre BC,SD34004870,Knott Spit,SURFACE,2018-01-30,2018-02-01,2018-02-02,UNABLE TO ANALYSE TOO MUCH SEDIMENT,,,,,,,Additional water sample requested
55-18,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,TUBE,2018-01-30,2018-02-02,2018-02-05,ND,ND,ND,ND,ND,ND,ND,
56-18,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2018-02-01,2018-02-02,2018-02-05,ND,ND,ND,ND,ND,ND,ND,
57-18,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2018-02-01,2018-02-02,2018-02-05,ND,ND,ND,ND,ND,ND,ND,
58-18,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,SURFACE,2018-02-05,2018-02-06,2018-02-07,ND,ND,ND,ND,ND,ND,ND,
59-18,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2018-02-05,2018-02-06,2018-02-07,ND,ND,ND,ND,ND,ND,ND,
60-18,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2018-02-05,2018-02-06,2018-02-07,ND,ND,ND,ND,ND,ND,ND,
61/18,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,POLE,2018-02-06,2018-02-07,2018-02-08,ND,ND,ND,ND,ND,ND,ND,
62/18,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,SURFACE,2018-02-06,2018-02-07,2018-02-08,ND,ND,ND,320,ND,ND,ND,
63/18,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2018-02-06,2018-02-07,2018-02-08,ND,ND,ND,ND,ND,ND,ND,
64/18,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,POLE,2018-02-06,2018-02-07,2018-02-08,ND,ND,ND,ND,ND,ND,ND,
65/18,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2018-02-06,2018-02-07,2018-02-08,ND,ND,ND,ND,ND,ND,ND,
66/18,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2018-02-06,2018-02-07,2018-02-08,ND,ND,ND,ND,ND,ND,ND,
67-18,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2018-02-07,2018-02-08,2018-02-09,ND,ND,ND,160,ND,ND,40,
68-18,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2018-02-07,2018-02-08,2018-02-09,ND,ND,ND,ND,ND,ND,ND,
69-18,Lune,B066G,Wyre BC,SD34004870,Knott Spit,POLE,2018-02-06,2018-02-08,2018-02-09,ND,ND,ND,ND,ND,ND,ND,
71/18,Langstone Harbour,B019I,Portsmouth PHA,SU70940291,Stoke Common Lake,POLE,2018-02-08,2018-02-09,2018-02-12,ND,ND,ND,ND,ND,ND,ND,
72/18,Swale,B076P,Swale BC,TR01316497,The Causeway,SURFACE,2018-02-08,2018-02-09,2018-02-12,ND,ND,ND,120,ND,ND,ND,
73/18,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,TUBE,2018-02-12,2018-02-13,2018-02-14,ND,ND,ND,ND,ND,ND,ND,
75/18,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2018-02-12,2018-02-13,2018-02-14,ND,ND,ND,ND,ND,ND,ND,
76/18,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,POLE,2018-02-12,2018-02-13,2018-02-14,ND,ND,ND,80,ND,ND,ND,
77/18,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2018-02-13,2018-02-14,2018-02-15,ND,ND,ND,600,ND,ND,ND,
78/18,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,SURFACE,2018-02-13,2018-02-14,2018-02-15,UNABLE TO ANALYSE TOO MUCH SEDIMENT,,,,,,,Additional water sample requested 
79/18,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,SURFACE,2018-02-13,2018-02-14,2018-02-15,ND,ND,ND,ND,ND,ND,ND,
80/18,Morecambe Bay - East,B047P,Lancaster CC,SD44196535,Bare Ayre East,POLE,2018-02-13,2018-02-14,2018-02-15,ND,ND,ND,ND,ND,ND,ND,
81/18,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2018-02-13,2018-02-14,2018-02-15,ND,ND,ND,ND,ND,ND,ND,
82/18,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2018-02-14,2018-02-15,2018-02-16,ND,ND,ND,ND,ND,ND,ND,
83/18,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2018-02-14,2018-02-15,2018-02-16,ND,ND,ND,ND,ND,ND,ND,
84/18,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,SURFACE,2018-02-15,2018-02-16,2018-02-19,ND,ND,ND,ND,ND,ND,ND,
85/18,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2018-02-15,2018-02-16,2018-02-19,ND,ND,ND,500,ND,ND,ND,
86/18,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2018-02-15,2018-02-16,2018-02-19,ND,ND,ND,ND,ND,ND,ND,
87/18,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2018-02-15,2018-02-16,2018-02-19,ND,ND,ND,400,ND,ND,ND,
88/18,Chichester Harbour,B018M,Chichester DC,SU74690448,Emsworth,POLE,2018-02-19,2018-02-20,2018-02-21,ND,ND,ND,160,ND,ND,ND,
89/18,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2018-02-19,2018-02-20,2018-02-21,ND,ND,ND,ND,ND,ND,ND,
90/18,Burry Inlet,B038L,City and Council of Swansea,SS44409730,Whitford Point,SURFACE,2018-02-19,2018-02-20,2018-02-21,ND,ND,ND,ND,ND,ND,ND,
91/18,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,SURFACE,2018-02-19,2018-02-20,2018-02-21,ND,ND,ND,160,ND,ND,ND,
92/18,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,POLE,2018-02-20,2018-02-21,2018-02-22,ND,ND,ND,160,ND,ND,ND,
93/18,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2018-02-21,2018-02-22,2018-02-23,ND,ND,ND,ND,ND,ND,ND,
94/18,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2018-02-21,2018-02-22,2018-02-23,ND,ND,ND,ND,ND,ND,ND,
95/18,Blackwater,B14AD,Maldon DC,TM06910846,St Peters Flats,SURFACE,2018-02-21,2018-02-22,2018-02-23,ND,ND,ND,ND,ND,ND,ND,
96/18,The Wash,B003V,Boston BC,TF44234098,Toft,SURFACE,2018-02-21,2018-02-23,2018-02-26,ND,ND,ND,ND,ND,ND,ND,
97/18,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,SURFACE,2018-02-22,2018-02-23,2018-02-26,ND,ND,ND,1160,ND,ND,ND,
98/18,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,SURFACE,2018-02-21,2018-02-23,2018-02-26,ND,ND,ND,240,ND,ND,ND,
99/18,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,SURFACE,2018-02-22,2018-02-23,2018-02-26,ND,ND,ND,80,ND,ND,ND,
100/18,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,SURFACE,2018-02-21,2018-02-23,2018-02-26,ND,ND,ND,800,ND,ND,ND,
101/18,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2018-02-22,2018-02-23,2018-02-26,ND,ND,ND,200,ND,ND,ND,
102/18,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2018-02-22,2018-02-23,2018-02-26,ND,ND,ND,ND,ND,ND,ND,
103/18,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2018-02-21,2018-02-23,2018-02-26,ND,ND,ND,ND,ND,ND,ND,
104/18,Brixham,B082B,Torbay BC,SX90965741,Fishcombe Cove SW Corner,POLE,2018-02-21,2018-02-23,2018-02-26,ND,ND,ND,200,ND,ND,ND,
105/18,Lune,B066G,Wyre BC,SD34004870,Knott Spit,POLE,2018-02-21,2018-02-23,2018-02-26,ND,ND,ND,ND,ND,ND,ND,
107/18,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2018-02-26,2018-02-27,2018-02-28,ND,ND,ND,ND,ND,ND,ND,
108-18,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2018-02-27,2018-03-01,2018-03-02,ND,ND,ND,ND,ND,ND,ND,
109/18,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,SURFACE,2018-03-04,2018-03-06,2018-03-07,ND,ND,ND,600,ND,ND,ND,
110/18,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,SURFACE,2018-03-04,2018-03-06,2018-03-07,ND,ND,ND,ND,ND,ND,ND,
111/18,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2018-03-05,2018-03-06,2018-03-07,ND,ND,ND,ND,ND,ND,40,
112/18,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2018-03-05,2018-03-06,2018-03-07,ND,ND,ND,ND,ND,ND,ND,
113/18,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2018-03-05,2018-03-06,2018-03-07,ND,ND,ND,ND,ND,ND,ND,
114/18,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2018-03-05,2018-03-06,2018-03-07,ND,ND,ND,ND,ND,ND,ND,
115-18,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,SURFACE,2018-03-06,2018-03-07,2018-03-08,ND,ND,ND,ND,ND,ND,ND,
116-18,Morecambe Bay - East,B047P,Lancaster CC,SD44196535,Bare Ayre East,POLE,2018-03-05,2018-03-07,2018-03-08,ND,ND,ND,ND,ND,ND,ND,
117-18,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2018-03-06,2018-03-07,2018-03-08,ND,ND,ND,ND,ND,ND,ND,
118-18,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2018-03-06,2018-03-07,2018-03-08,ND,ND,ND,ND,ND,ND,ND,
119-18,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2018-03-07,2018-03-08,2018-03-09,ND,ND,ND,ND,ND,ND,ND,
120-18,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2018-03-07,2018-03-09,2018-03-12,ND,ND,ND,80,ND,ND,ND,
121-18,Swale,B076P,Swale BC,TR01316497,The Causeway,SURFACE,2018-03-08,2018-03-09,2018-03-12,ND,ND,ND,ND,ND,ND,ND,
122-18,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,POLE,2018-03-12,2018-03-13,2018-03-14,ND,ND,ND,ND,ND,ND,ND,
123-18,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,POLE,2018-03-13,2018-03-14,2018-03-15,ND,ND,ND,ND,ND,ND,ND,
124-18,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,SURFACE,2018-03-13,2018-03-14,2018-03-15,ND,ND,ND,ND,ND,ND,ND,
125-18,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,SURFACE,2018-03-13,2018-03-14,2018-03-15,ND,ND,ND,ND,ND,ND,ND,
126-18,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,SURFACE,2018-03-13,2018-03-14,2018-03-15,ND,ND,ND,ND,ND,ND,ND,
127-18,Percuil,B033R,Cornwall PHA,SW85853369,Percuil,SURFACE,2018-03-13,2018-03-14,2018-03-15,ND,ND,ND,ND,ND,ND,ND,
128-18,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2018-03-13,2018-03-14,2018-03-15,ND,ND,ND,ND,ND,ND,ND,
129-18,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2018-03-14,2018-03-15,2018-03-16,ND,ND,ND,ND,ND,ND,ND,
130-18,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2018-03-14,2018-03-15,2018-03-16,ND,ND,ND,ND,ND,ND,ND,
132-18,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,POLE,2018-03-14,2018-03-15,2018-03-16,ND,ND,ND,ND,ND,ND,ND,
133-18,Lune,B066G,Wyre BC,SD34004870,Knott Spit,POLE,2018-03-14,2018-03-15,2018-03-16,ND,ND,ND,ND,ND,ND,ND,
135-18,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2018-03-15,2018-03-16,2018-03-19,ND,ND,ND,ND,ND,ND,ND,
136/18,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2018-03-19,2018-03-20,2018-03-21,ND,ND,ND,3000,ND,ND,ND,
137/18,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2018-03-20,2018-03-21,2018-03-22,ND,ND,ND,ND,ND,ND,ND,
138/18,Burry Inlet,B038L,City and Council of Swansea,SS44409730,Whitford Point,SURFACE,2018-03-20,2018-03-21,2018-03-22,ND,ND,ND,ND,ND,ND,ND,
139/18,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2018-03-20,2018-03-21,2018-03-22,ND,ND,ND,ND,ND,ND,ND,
140/18,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,POLE,2018-03-21,2018-03-22,2018-03-23,UNABLE TO ANALYSE TOO MUCH SEDIMENT,,,,,,,Additional water sample requested
141/18,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,SURFACE,2018-03-21,2018-03-22,2018-03-23,ND,ND,ND,ND,ND,ND,ND,
142/18,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,SURFACE,2018-03-21,2018-03-22,2018-03-23,ND,ND,ND,ND,ND,ND,ND,
143/18,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,SURFACE,2018-03-21,2018-03-22,2018-03-23,ND,ND,ND,ND,ND,ND,ND,
144/18,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2018-03-21,2018-03-22,2018-03-23,ND,ND,ND,ND,ND,ND,40,
145/18,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2018-03-21,2018-03-22,2018-03-23,ND,ND,ND,ND,ND,ND,ND,
146/18,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2018-03-20,2018-03-22,2018-03-23,ND,ND,ND,ND,ND,ND,ND,
147/18,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,POLE,2018-03-22,2018-03-23,2018-03-26,ND,ND,ND,1000,ND,ND,ND,
148/18,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,POLE,2018-03-27,2018-03-28,2018-03-29,ND,ND,ND,ND,ND,ND,ND,
149/18,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2018-03-26,2018-03-28,2018-03-29,ND,ND,ND,ND,ND,ND,ND,
150/18,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,POLE,2018-03-26,2018-03-28,2018-03-29,ND,ND,ND,ND,ND,ND,ND,
151/18,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2018-03-26,2018-03-28,2018-03-29,ND,40,ND,ND,ND,ND,40,
152/18,Blackwater,B14AD,Maldon DC,TM06910846,St Peters Flats,SURFACE,2018-03-28,2018-03-29,2018-03-29,"NOT TESTED, SUBMITTED OUTSIDE ROUTINE TESTING FREQUENCY",,,,,,,Additional water samples requested
153/18,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2018-03-28,2018-03-29,2018-03-29,"NOT TESTED, SUBMITTED OUTSIDE ROUTINE TESTING FREQUENCY",,,,,,,Additional water samples requested
155/18,Lune,B066G,Wyre BC,SD34004870,Knott Spit,SURFACE,2018-03-28,2018-03-29,2018-03-29,"NOT TESTED, SUBMITTED OUTSIDE ROUTINE TESTING FREQUENCY",,,,,,,Additional water samples requested
156/18,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,SURFACE,2018-04-03,2018-04-04,2018-04-05,ND,ND,ND,ND,ND,ND,ND,
157/18,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2018-04-03,2018-04-04,2018-04-05,ND,ND,ND,ND,ND,ND,ND,
158/18,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2018-04-03,2018-04-04,2018-04-05,ND,ND,ND,ND,ND,ND,ND,
159/18,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,POLE,2018-04-03,2018-04-04,2018-04-05,ND,ND,ND,1100,ND,ND,ND,
160/18,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2018-04-03,2018-04-04,2018-04-05,ND,ND,ND,ND,ND,ND,80,
161/18,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2018-04-03,2018-04-04,2018-04-05,ND,ND,ND,160,ND,ND,ND,
162/18,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2018-04-04,2018-04-05,2018-04-06,ND,ND,ND,ND,ND,ND,80,
163/18,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon-Tregothnan,SURFACE,2018-04-04,2018-04-05,2018-04-06,ND,ND,ND,ND,ND,ND,ND,
164/18,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,SURFACE,2018-04-04,2018-04-05,2018-04-06,ND,ND,ND,ND,ND,ND,ND,
