SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,,
198/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,13/04/2021,ND,ND,ND,ND,ND,ND,ND,,
199/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,13/04/2021,ND,ND,ND,160,ND,ND,ND,,
200/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,13/04/2021,ND,ND,ND,ND,ND,ND,ND,,
201/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,13/04/2021,ND,ND,ND,1080,ND,ND,ND,,
202/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,13/04/2021,ND,ND,ND,ND,ND,ND,ND,,
203/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,13/04/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
204/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,12/04/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
205/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,13/04/2021,ND,ND,ND,200,ND,ND,ND,,
206/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,13/04/2021,ND,ND,ND,ND,ND,ND,ND,,
207/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,13/04/2021,ND,ND,ND,ND,ND,ND,ND,,
208/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,13/04/2021,ND,ND,ND,ND,ND,ND,ND,,
209/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,12/04/2021,ND,ND,ND,160,ND,ND,ND,,
210/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,12/04/2021,ND,ND,ND,840,ND,ND,ND,,
211/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,14/04/2021,ND,ND,ND,ND,ND,ND,ND,,
212/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,14/04/2021,ND,ND,ND,200,ND,ND,ND,,
213/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,14/04/2021,ND,ND,ND,560,ND,ND,ND,,
214/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,14/04/2021,ND,ND,ND,640,ND,ND,ND,,
215/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,14/04/2021,ND,ND,ND,320,ND,ND,ND,,
216/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,14/04/2021,ND,ND,ND,320,ND,ND,ND,,
217/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,15/04/2021,ND,ND,ND,3800,ND,ND,ND,,
219/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,19/04/2021,ND,ND,ND,2360,ND,ND,ND,,
220/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,19/04/2021,ND,ND,ND,840,ND,ND,ND,,
221/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,19/04/2021,ND,80,ND,ND,ND,ND,ND,,
222/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,19/04/2021,ND,ND,ND,4600,ND,ND,ND,,
223/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,18/04/2021,ND,ND,ND,8760,ND,ND,ND,,
224/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,19/04/2021,ND,ND,ND,3480,ND,ND,ND,,
225/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,19/04/2021,ND,ND,ND,ND,ND,ND,ND,,
226/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,19/04/2021,ND,ND,ND,120,ND,ND,ND,,
227/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,19/04/2021,ND,ND,ND,3600,ND,ND,ND,,
228/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,20/04/2021,ND,ND,ND,ND,ND,ND,ND,,
229/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,20/04/2021,ND,ND,ND,80,ND,ND,ND,,
230/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,20/04/2021,ND,ND,ND,320,ND,ND,ND,,
231/21,Portland,B25AK,Dorset Council,SY68707757,Site A,19/04/2021,ND,ND,ND,1920,ND,ND,ND,,
232/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,20/04/2021,ND,ND,ND,ND,ND,ND,ND,,
233/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,20/04/2021,ND,ND,ND,800,ND,ND,ND,,
234/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,20/04/2021,ND,ND,ND,ND,ND,ND,ND,,
235/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,21/04/2021,ND,ND,ND,1760,ND,ND,ND,,
236/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,26/04/2021,ND,ND,ND,280,ND,ND,ND,,
237/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,26/04/2021,ND,ND,ND,400,ND,ND,ND,,
238/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,26/04/2021,ND,40,ND,1960,ND,ND,ND,,
239/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,26/04/2021,ND,ND,ND,5600,ND,ND,ND,,
241/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,26/04/2021,ND,ND,ND,4280,ND,ND,ND,,
242/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,27/04/2021,ND,80,ND,3960,ND,ND,ND,,
243/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,27/04/2021,ND,ND,ND,ND,ND,ND,ND,,
244/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,27/04/2021,ND,ND,ND,8100,ND,ND,ND,,
245/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,27/04/2021,ND,ND,ND,10300,ND,ND,ND,,
246/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,27/04/2021,ND,ND,ND,3000,ND,ND,ND,,
247/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,27/04/2021,ND,ND,ND,ND,ND,ND,ND,,
248/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,26/04/2021,ND,ND,ND,1480,ND,ND,ND,,
249/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,27/04/2021,ND,40,ND,720,ND,ND,ND,,
250/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,27/04/2021,ND,ND,ND,400,ND,ND,ND,,
251/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,28/04/2021,ND,ND,ND,2080,ND,ND,ND,,
252/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,27/04/2021,ND,ND,ND,8600,ND,ND,ND,,
253/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,28/04/2021,ND,ND,ND,ND,ND,ND,ND,,
254/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,28/04/2021,ND,ND,ND,ND,ND,ND,ND,,
255/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,28/04/2021,100,ND,ND,185500,ND,ND,ND,,
256/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,28/04/2021,ND,ND,ND,60900,ND,ND,ND,,
257/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,28/04/2021,ND,ND,ND,ND,ND,ND,40,,
258/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,28/04/2021,ND,ND,ND,ND,ND,ND,ND,,
259/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,28/04/2021,ND,ND,ND,ND,720,ND,ND,,
260/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,29/04/2021,ND,ND,ND,1800,ND,ND,ND,,
261/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,04/05/2021,ND,ND,ND,200,300,ND,200,,
262/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,04/05/2021,ND,ND,ND,ND,ND,ND,100,,
263/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,04/05/2021,100,ND,ND,ND,ND,ND,ND,,
264/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,04/05/2021,ND,ND,ND,6280,ND,ND,ND,,
265/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,04/05/2021,ND,ND,ND,4600,ND,ND,ND,,
266/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,04/05/2021,"Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment","Unable to analyse, too much sediment",,
267/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,04/05/2021,ND,ND,ND,2900,ND,ND,ND,,
268/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,04/05/2021,ND,ND,ND,400,ND,ND,ND,,
270/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,05/05/2021,ND,ND,ND,1900,ND,ND,ND,,
271/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,05/05/2021,ND,ND,ND,2000,ND,ND,ND,,
272/21,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,05/05/2021,ND,ND,ND,1840,ND,ND,ND,,
273/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,05/05/2021,ND,80,ND,2280,ND,ND,ND,,
274/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,05/05/2021,ND,ND,ND,7080,ND,ND,ND,,
275/21,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,05/05/2021,ND,ND,ND,ND,ND,ND,ND,,
276/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,05/05/2021,ND,ND,ND,80,ND,ND,ND,,
277/21,The Wash,B003V,Boston BC,TF44234098,Toft,10/05/2021,ND,ND,ND,ND,ND,ND,ND,,
278/21,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,10/05/2021,ND,ND,ND,ND,ND,ND,ND,,
279/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,10/05/2021,200,ND,ND,1000,ND,ND,ND,,
280/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,10/05/2021,ND,ND,ND,ND,ND,ND,ND,,
281/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,10/05/2021,ND,ND,ND,13080,ND,ND,ND,,
282/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,10/05/2021,ND,ND,ND,17400,ND,ND,ND,,
283/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,10/05/2021,ND,ND,ND,13720,ND,ND,ND,,
284/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,10/05/2021,ND,ND,ND,ND,ND,ND,ND,,
285/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,10/05/2021,ND,ND,ND,80,ND,ND,ND,,
286/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,10/05/2021,ND,ND,ND,400,ND,ND,40,,
287/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,10/05/2021,ND,ND,ND,200,ND,ND,ND,,
288/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,11/05/2021,ND,ND,ND,11300,ND,ND,ND,,
289/21,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,11/05/2021,ND,ND,40,ND,ND,ND,ND,,
290/21,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,11/05/2021,ND,ND,ND,240,ND,ND,ND,,
291/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,11/05/2021,ND,ND,ND,8300,ND,ND,ND,,
292/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,11/05/2021,ND,ND,ND,2100,ND,ND,ND,,
293/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,11/05/2021,ND,ND,40,360,ND,ND,ND,,
294/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,11/05/2021,ND,ND,ND,800,ND,ND,ND,,
295/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,11/05/2021,ND,ND,ND,ND,ND,ND,ND,,
296/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,11/05/2021,ND,ND,ND,ND,ND,ND,ND,,
297/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,11/05/2021,ND,ND,ND,1200,ND,ND,ND,,
298/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,11/05/2021,ND,ND,ND,4800,ND,ND,ND,,
299/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,11/05/2021,ND,ND,ND,ND,ND,ND,ND,,
300/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,12/05/2021,ND,ND,ND,1120,ND,ND,ND,,
301/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,12/05/2021,ND,ND,ND,ND,ND,ND,ND,,
302/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,11/05/2021,ND,ND,ND,66400,ND,ND,200,,
303/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,12/05/2021,ND,ND,ND,ND,ND,ND,ND,,
304/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,12/05/2021,ND,ND,ND,400,ND,ND,ND,,
305/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,12/05/2021,ND,ND,ND,152900,ND,ND,100,,
306/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,12/05/2021,ND,ND,ND,71400,ND,ND,ND,,
307/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,13/05/2021,ND,ND,ND,800,ND,ND,ND,,
308/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,12/05/2021,100,ND,ND,ND,ND,ND,ND,,
309/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,17/05/2021,ND,ND,ND,13520,ND,ND,ND,,
310/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,17/05/2021,ND,ND,ND,42120,ND,ND,ND,,
311/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,17/05/2021,ND,40,ND,38520,ND,ND,ND,,
312/21,Portland,B25AK,Dorset Council,SY68707757,Site A,17/05/2021,ND,ND,ND,800,ND,ND,ND,,
313/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,17/05/2021,40,ND,ND,1640,ND,ND,80,,
314/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,17/05/2021,ND,ND,ND,1300,ND,ND,ND,,
315/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,18/05/2021,ND,ND,ND,6440,ND,ND,280,,
316/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,18/05/2021,ND,ND,ND,4800,ND,ND,160,,
317/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,18/05/2021,ND,ND,ND,3280,ND,ND,80,,
318/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,17/05/2021,ND,ND,ND,ND,ND,ND,ND,,
319/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,18/05/2021,ND,ND,ND,2000,ND,ND,ND,,
320/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,18/05/2021,ND,ND,ND,400,ND,ND,ND,,
321/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,18/05/2021,ND,ND,ND,1900,ND,ND,ND,,
322/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,18/05/2021,ND,40,ND,13680,ND,ND,ND,,
323/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,18/05/2021,ND,ND,ND,252000,ND,ND,ND,,
324/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,19/05/2021,ND,ND,ND,18400,ND,ND,ND,,
325/21,Swale,B076P,Swale BC,TR01316497,The Causeway,19/05/2021,ND,ND,ND,1800,ND,ND,ND,,
326/21,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,19/05/2021,ND,ND,ND,ND,ND,ND,ND,,
328/21,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,24/05/2021,ND,ND,ND,1600,ND,ND,ND,,
330/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,24/05/2021,ND,ND,ND,8000,ND,ND,ND,,
331/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,24/05/2021,ND,ND,ND,1300,ND,ND,ND,,
332/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,24/05/2021,ND,ND,ND,ND,ND,ND,ND,,
333/21,Dart,B028B,South Hams DC,SX87415599,Waddeton,24/05/2021,ND,ND,ND,ND,ND,ND,ND,,
334/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,24/05/2021,ND,ND,ND,1360,ND,ND,ND,,
335/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,25/05/2021,ND,ND,ND,ND,ND,ND,ND,,
336/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,24/05/2021,ND,ND,ND,ND,ND,ND,ND,,
337/21,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,25/05/2021,ND,ND,ND,5800,ND,ND,ND,,
338/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,25/05/2021,ND,ND,ND,760,ND,ND,ND,,
339/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,24/05/2021,ND,ND,ND,ND,ND,ND,ND,,
340/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,24/05/2021,ND,ND,ND,ND,ND,ND,ND,,
341/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,26/05/2021,ND,ND,ND,7560,ND,ND,ND,,
342/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,26/05/2021,ND,ND,ND,27800,ND,ND,ND,,
343/21,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,26/05/2021,ND,ND,ND,3200,ND,ND,100,,
344/21,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,26/05/2021,ND,ND,ND,1300,ND,ND,ND,,
345/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,26/05/2021,ND,ND,ND,600,ND,ND,ND,,
346/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,26/05/2021,ND,ND,ND,1600,ND,ND,ND,,
347/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,26/05/2021,ND,ND,ND,3800,ND,ND,ND,,
348/21,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,26/05/2021,ND,ND,ND,1800,ND,ND,ND,,
349/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,26/05/2021,ND,ND,ND,ND,ND,ND,ND,,
350/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,26/05/2021,ND,ND,ND,289400,ND,ND,ND,,
351/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,26/05/2021,ND,ND,ND,68760,ND,ND,ND,,
352/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,26/05/2021,ND,ND,ND,ND,ND,ND,ND,,
353/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,26/05/2021,ND,160,ND,15280,ND,ND,ND,,
354/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,25/05/2021,40,160,ND,23000,ND,ND,ND,,
355/21,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,27/05/2021,ND,ND,ND,ND,ND,ND,ND,,
356/21,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,27/05/2021,ND,ND,ND,34600,ND,ND,ND,,
357/21,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,27/05/2021,ND,ND,ND,60000,ND,ND,ND,,
358/21,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,27/05/2021,ND,ND,ND,43000,ND,ND,ND,,
359/21,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,01/06/2021,ND,ND,ND,6640,ND,ND,200,,
360/21,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,01/06/2021,ND,ND,ND,8800,ND,ND,ND,,
361/21,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,01/06/2021,ND,40,ND,16600,ND,ND,ND,,
362/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,01/06/2021,120,520,ND,17120,ND,ND,ND,,
363/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,01/06/2021,ND,240,ND,6320,ND,ND,240,,
364/21,Portland,B25AK,Dorset Council,SY68707757,Site A,01/06/2021,ND,ND,ND,560,ND,ND,ND,,
365/21,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,01/06/2021,ND,ND,ND,48400,ND,ND,200,,
366/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,01/06/2021,ND,ND,ND,1100,ND,ND,ND,,
367/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,01/06/2021,80,160,ND,252000,ND,ND,40,,
368/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,31/05/2021,ND,240,ND,162000,ND,ND,ND,,
369/21,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,01/06/2021,ND,ND,ND,24600,ND,ND,ND,,
370/21,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,02/06/2021,ND,ND,ND,4200,ND,ND,ND,,
371/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,02/06/2021,40,ND,40,8920,ND,ND,40,,
372/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,02/06/2021,320,320,ND,16320,ND,ND,ND,,
373/21,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,03/06/2021,ND,ND,ND,600,ND,ND,ND,,
374/21,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,03/06/2021,ND,ND,ND,ND,ND,ND,ND,,
375/21,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,07/06/2021,ND,200,ND,1680,ND,ND,ND,,
376/21,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,07/06/2021,ND,280,ND,520,ND,ND,ND,,
377/21,Roach,B73AF,London PHA,TQ94909207,Paglesham,07/06/2021,ND,ND,ND,840,ND,ND,ND,,
378/21,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,07/06/2021,ND,ND,ND,220,ND,ND,ND,,
379/21,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,07/06/2021,ND,ND,ND,2840,ND,ND,ND,,
380/21,The Thames,B16BR,London PHA,TQ93798271,Phoenix,07/06/2021,40,ND,ND,1240,ND,ND,ND,,
381/21,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,06/06/2021,ND,ND,ND,ND,ND,ND,ND,,
382/21,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,07/06/2021,ND,ND,ND,320,ND,ND,ND,,
383/21,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,07/06/2021,ND,ND,ND,3080,ND,ND,40,,
384/21,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,08/06/2021,ND,ND,ND,ND,ND,ND,ND,,
385/21,The Wash,B003V,Boston BC,TF44234098,Toft,07/06/2021,ND,ND,ND,15100,ND,ND,100,,
386/21,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,08/06/2021,ND,ND,ND,52700,ND,ND,ND,,
387/21,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,07/06/2021,ND,ND,ND,ND,ND,ND,ND,,
388/21,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,08/06/2021,ND,ND,ND,ND,ND,ND,ND,,
389/21,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,08/06/2021,ND,ND,ND,960,ND,ND,ND,,
390/21,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,07/06/2021,ND,ND,ND,4700,ND,ND,ND,,
391/21,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,07/06/2021,ND,ND,ND,ND,ND,ND,ND,,
392/21,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,07/06/2021,ND,80,ND,11560,ND,ND,ND,,
393/21,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,07/06/2021,ND,80,ND,45440,ND,ND,ND,,
394/21,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,09/06/2021,ND,ND,ND,960,ND,ND,ND,,
395/21,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,09/06/2021,ND,ND,ND,3520,ND,ND,ND,,
396/21,Dee,B45AB,Flintshire CC,SJ17568056,Salisbury,09/06/2021,ND,ND,ND,52200,ND,ND,ND,,
397/21,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,09/06/2021,ND,ND,ND,400,ND,ND,ND,,
398/21,Dart,B028P,South Hams DC,SX87945350,Long Wood South,09/06/2021,ND,40,ND,19240,ND,ND,200,,
399/21,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,09/06/2021,ND,ND,ND,11000,ND,ND,ND,,
400/21,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,09/06/2021,ND,ND,ND,13600,ND,ND,ND,,
401/21,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,09/06/2021,40,ND,ND,19360,ND,ND,ND,,
402/21,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,09/06/2021,ND,ND,ND,ND,ND,ND,240,,
403/21,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,10/06/2021,ND,ND,ND,ND,ND,ND,ND,,
