SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,SampleCollectionMethod,DateSampleCollected,DateSampleArrivedAtLowestoft,DateOfAnalysisAndResultsReported,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,ActionRequired
269/19,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,SURFACE,2019-05-07,2019-05-08,2019-05-09,ND,ND,ND,3960,ND,ND,ND,
270/19,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,SURFACE,2019-05-07,2019-05-08,2019-05-09,ND,ND,ND,700,ND,ND,ND,
271/19,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,SURFACE,2019-05-07,2019-05-08,2019-05-09,ND,40,ND,136000,ND,ND,ND,
272/19,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,SURFACE,2019-05-07,2019-05-08,2019-05-09,ND,ND,ND,16120,ND,ND,ND,
273/19,The Thames,B16BR,London PHA,TQ93798271,Phoenix,SURFACE,2019-05-07,2019-05-08,2019-05-09,ND,ND,ND,10240,ND,ND,ND,
274/19,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,SURFACE,2019-05-07,2019-05-08,2019-05-09,ND,ND,ND,3200,ND,ND,ND,
275/19,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,POLE,2019-05-07,2019-05-08,2019-05-09,ND,ND,ND,300,ND,ND,ND,
276/19,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2019-05-07,2019-05-08,2019-05-09,ND,ND,ND,1200,ND,ND,ND,
277/19,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,POLE,2019-05-07,2019-05-08,2019-05-09,40,ND,ND,ND,ND,ND,ND,Additional flesh and water sample requested
278/19,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2019-05-08,2019-05-09,2019-05-10,UNABLE TO ANALYSE TOO MUCH SEDIMENT,,,,,,,Additional water sample requested
279/19,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2019-05-08,2019-05-09,2019-05-10,ND,ND,ND,13000,ND,ND,ND,
280/19,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2019-05-08,2019-05-09,2019-05-10,ND,ND,ND,476000,ND,ND,ND,Additional flesh and water sample requested
281/19,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2019-05-08,2019-05-09,2019-05-10,ND,ND,ND,262000,ND,ND,ND,Additional flesh and water sample requested
282/19,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,POLE,2019-05-08,2019-05-09,2019-05-10,ND,ND,ND,200,ND,ND,ND,
283/19,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2019-05-09,2019-05-10,2019-05-13,ND,ND,ND,10840,ND,ND,ND,
284/19,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2019-05-09,2019-05-10,2019-05-13,ND,ND,ND,1440,ND,ND,ND,
285/19,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,SURFACE,2019-05-13,2019-05-14,2019-05-15,ND,ND,ND,ND,ND,ND,ND,
286/19,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2019-05-13,2019-05-14,2019-05-15,ND,ND,ND,5000,ND,ND,ND,
287/19,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,POLE,2019-05-13,2019-05-14,2019-05-15,ND,ND,ND,35520,ND,ND,ND,
288/19,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,POLE,2019-05-13,2019-05-14,2019-05-15,ND,ND,ND,ND,ND,ND,ND,
289/19,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2019-05-13,2019-05-14,2019-05-15,ND,ND,ND,6640,ND,ND,ND,
290/19,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2019-05-14,2019-05-15,2019-05-16,ND,ND,ND,ND,ND,ND,42040,
291/19,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,POLE,2019-05-14,2019-05-15,2019-05-16,ND,100,ND,400,ND,ND,ND,Additional flesh and water samples requested
292/19,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,POLE,2019-05-14,2019-05-15,2019-05-16,ND,ND,ND,200,ND,ND,ND,
293/19,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,POLE,2019-05-14,2019-05-15,2019-05-16,ND,ND,ND,ND,ND,ND,ND,
294/19,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2019-05-14,2019-05-15,2019-05-16,ND,ND,ND,240,ND,ND,ND,
295/19,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2019-05-14,2019-05-15,2019-05-16,ND,ND,ND,31600,ND,ND,ND,
296/19,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2019-05-14,2019-05-15,2019-05-16,ND,ND,ND,2000,ND,ND,ND,
297/19,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,POLE,2019-05-14,2019-05-15,2019-05-16,ND,120,ND,480,ND,ND,ND,Additional flesh and water samples requested
298/19,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2019-05-13,2019-05-15,2019-05-16,ND,40,ND,3800,ND,ND,ND,
299/19,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,POLE,2019-05-14,2019-05-15,2019-05-16,ND,ND,ND,160,ND,ND,ND,
300/19,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2019-05-15,2019-05-16,2019-05-17,ND,200,ND,1560,ND,ND,ND,Additional flesh and water samples requested
301/19,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2019-05-15,2019-05-16,2019-05-17,ND,ND,ND,142000,ND,ND,ND,
302/19,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,TUBE,2019-05-15,2019-05-16,2019-05-17,ND,ND,ND,21600,ND,ND,ND,
304/19,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2019-05-15,2019-05-16,2019-05-17,ND,ND,ND,26720,ND,ND,ND,
305/19,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,SURFACE,2019-05-15,2019-05-16,2019-05-17,ND,100,ND,14500,ND,ND,ND,Additional flesh and water samples requested
306/19,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2019-05-15,2019-05-16,2019-05-17,ND,ND,ND,48080,ND,ND,ND,
307/19,Poole,B54CU,Poole BC,SZ09079041,Poole Coastal,POLE,2019-05-16,2019-05-17,2019-05-20,ND,ND,ND,2216000,ND,ND,ND,Additional flesh and water samples requested
308/19,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,POLE,2019-05-16,2019-05-17,2019-05-20,ND,ND,ND,249000,ND,ND,ND,Additional flesh and water samples requested
309/19,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2019-05-20,2019-05-21,2019-05-22,ND,500,ND,1900,ND,ND,ND,Additional Flesh and water samples
310/19,The Wash,B003V,Boston BC,TF44234098,Toft,SURFACE,2019-05-20,2019-05-21,2019-05-22,ND,ND,ND,ND,ND,ND,ND,
311/19,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,SURFACE,2019-05-20,2019-05-21,2019-05-22,ND,40,ND,8840,ND,ND,ND,
312/19,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2019-05-20,2019-05-21,2019-05-22,ND,680,ND,2160,ND,ND,ND,Additional Flesh and water samples
313/19,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,POLE,2019-05-20,2019-05-21,2019-05-22,ND,400,ND,3040,ND,ND,ND,Additional Flesh and water samples
314/19,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,POLE,2019-05-20,2019-05-21,2019-05-22,ND,280,ND,2120,ND,ND,ND,Additional Flesh and water samples
315/19,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,POLE,2019-05-20,2019-05-21,2019-05-22,ND,ND,ND,880,ND,ND,ND,
316/19,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,POLE,2019-05-20,2019-05-21,2019-05-22,ND,ND,ND,600,ND,ND,ND,
317/19,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,SURFACE,2019-05-20,2019-05-21,2019-05-22,ND,ND,ND,ND,ND,ND,ND,
318/19,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,SURFACE,2019-05-20,2019-05-21,2019-05-22,ND,ND,ND,300,ND,ND,ND,
319/19,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2019-05-20,2019-05-21,2019-05-22,ND,ND,ND,205400,ND,ND,ND,Additional Flesh and water samples
320/19,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2019-05-20,2019-05-21,2019-05-22,ND,ND,ND,36200,ND,ND,80,
321/19,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,POLE,2019-05-21,2019-05-22,2019-05-23,ND,ND,ND,560,ND,ND,ND,
322/19,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,POLE,2019-05-21,2019-05-22,2019-05-23,ND,ND,ND,160,ND,ND,ND,
323/19,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2019-05-19,2019-05-22,2019-05-23,ND,ND,ND,120,ND,ND,ND,
324/19,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,POLE,2019-05-21,2019-05-22,2019-05-23,ND,ND,ND,ND,ND,ND,ND,
325/19,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,SURFACE,2019-05-21,2019-05-22,2019-05-23,ND,40,ND,8800,ND,ND,ND,
326/19,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,POLE,2019-05-21,2019-05-22,2019-05-23,ND,40,ND,160,ND,ND,ND,
327/19,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,SURFACE,2019-05-21,2019-05-23,2019-05-24,ND,ND,ND,11320,ND,ND,ND,
328/19,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,SURFACE,2019-05-22,2019-05-23,2019-05-24,ND,ND,ND,17900,ND,ND,ND,
329/19,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,SURFACE,2019-05-22,2019-05-23,2019-05-24,ND,ND,ND,17200,ND,ND,ND,
330/19,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,SURFACE,2019-05-22,2019-05-23,2019-05-24,ND,ND,ND,10440,ND,ND,ND,
331/19,The Thames,B16BR,London PHA,TQ93798271,Phoenix,SURFACE,2019-05-22,2019-05-23,2019-05-24,ND,ND,ND,28480,ND,ND,ND,
332/19,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2019-05-22,2019-05-23,2019-05-24,ND,ND,ND,4040,ND,ND,ND,
333/19,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,POLE,2019-05-21,2019-05-23,2019-05-24,UNABLE TO ANALYSE TOO MUCH SEDIMENT,,,,,,,Additional water sample requested
335/19,Poole,B54CU,"Bournemouth, Poole and Christchurch Council",SZ09079041,Poole Coastal,POLE,2019-05-23,2019-05-24,2019-05-29,ND,ND,ND,1500000,ND,ND,ND,Additional Flesh and water samples
336/19,Poole,B54CL,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,POLE,2019-05-23,2019-05-24,2019-05-29,ND,ND,ND,172000,ND,ND,ND,Additional Flesh and water samples
337/19,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2019-05-22,2019-05-24,2019-05-29,ND,40,ND,13800,ND,ND,ND,
338/19,Swale,B076P,Swale BC,TR01316497,The Causeway,SURFACE,2019-05-23,2019-05-24,2019-05-29,ND,80,ND,5080,ND,ND,ND,
339/19,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2019-05-23,2019-05-24,2019-05-29,ND,ND,ND,43400,ND,ND,ND,
340/19,Three Rivers,UNKNOWN1,Carmarthenshire CC,SN39690647,Kidwelly Quay,SURFACE,2019-05-28,2019-05-29,2019-05-30,ND,ND,ND,ND,ND,ND,65080,
341/19,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,POLE,2019-05-28,2019-05-29,2019-05-30,ND,440,ND,680,ND,ND,ND,Additional flesh and water samples requested
342/19,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,POLE,2019-05-28,2019-05-29,2019-05-30,40,ND,ND,160,ND,ND,ND,Additional flesh and water samples requested
343/19,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,POLE,2019-05-28,2019-05-29,2019-05-30,ND,40,ND,40,ND,ND,ND,
344/19,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,POLE,2019-05-28,2019-05-29,2019-05-30,ND,80,ND,4400,ND,ND,ND,
345/19,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2019-05-28,2019-05-29,2019-05-30,ND,ND,40,ND,ND,ND,ND,
346/19,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,POLE,2019-05-28,2019-05-29,2019-05-30,ND,ND,ND,400,ND,ND,ND,
347/19,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2019-05-27,2019-05-29,2019-05-30,ND,ND,ND,480,ND,ND,40,
348/19,Poole,B54CU,"Bournemouth, Poole and Christchurch Council",SZ09079041,Poole Coastal,POLE,2019-05-29,2019-05-30,2019-05-31,ND,ND,ND,560,ND,ND,ND,
349/19,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,POLE,2019-05-29,2019-05-30,2019-05-31,ND,ND,ND,6120,ND,ND,ND,
351/19,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,SURFACE,2019-05-29,2019-05-30,2019-05-31,ND,400,ND,2680,ND,ND,ND,Additional flesh and water required
352/19,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,SURFACE,2019-05-29,2019-05-30,2019-05-31,ND,ND,ND,600,ND,ND,ND,
353/19,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,SURFACE,2019-05-29,2019-05-30,2019-05-31,ND,200,ND,8680,ND,ND,ND,Additional flesh and water required
354/19,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,SURFACE,2019-05-29,2019-05-30,2019-05-31,ND,1600,ND,1320,ND,ND,ND,Additional flesh required
355/19,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,POLE,2019-05-29,2019-05-30,2019-05-31,ND,ND,ND,ND,ND,ND,ND,
356/19,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2019-05-29,2019-05-30,2019-05-31,ND,40,ND,2440,ND,ND,ND,
357/19,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2019-05-29,2019-05-30,2019-05-31,ND,40,ND,ND,ND,ND,ND,
358/19,Poole,B54CL,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,POLE,2019-05-30,2019-05-31,2019-06-03,ND,ND,ND,80,ND,ND,ND,
359/19,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2019-05-30,2019-05-31,2019-06-03,ND,ND,ND,ND,ND,ND,ND,
360/19,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,POLE,2019-05-30,2019-05-31,2019-06-03,ND,200,ND,5000,ND,ND,ND,Additional flesh and water required
362/19,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2019-06-03,2019-06-04,2019-06-05,ND,400,ND,1400,ND,ND,ND,Additional flesh & water samples requested
363/19,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,SURFACE,2019-06-03,2019-06-04,2019-06-05,ND,120,ND,ND,ND,ND,ND,Additional flesh & water samples requested
364/19,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,POLE,2019-06-03,2019-06-04,2019-06-05,ND,200,ND,2600,ND,ND,ND,Additional flesh & water samples requested
365/19,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,POLE,2019-06-03,2019-06-04,2019-06-05,ND,ND,ND,400,ND,ND,ND,
366/19,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2019-06-03,2019-06-04,2019-06-05,ND,ND,ND,ND,ND,ND,ND,
367/19,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2019-06-02,2019-06-04,2019-06-05,ND,ND,ND,80,ND,ND,ND,
368/19,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2019-06-03,2019-06-04,2019-06-05,ND,ND,ND,1120,ND,ND,80,
369/19,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2019-06-03,2019-06-04,2019-06-05,ND,ND,ND,720,ND,ND,80,
370/19,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2019-06-03,2019-06-04,2019-06-05,40,ND,ND,8560,ND,ND,ND,Additional flesh & water samples requested
371/19,Poole,B54CU,"Bournemouth, Poole and Christchurch Council",SZ09079041,Poole Coastal,POLE,2019-06-04,2019-06-05,2019-06-06,ND,ND,ND,2160,ND,ND,ND,
372/19,Poole,B54CL,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,POLE,2019-06-04,2019-06-05,2019-06-06,ND,ND,ND,400,ND,ND,ND,
373/19,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,SURFACE,2019-06-04,2019-06-05,2019-06-06,ND,ND,ND,3560,ND,ND,ND,
374/19,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,SURFACE,2019-06-04,2019-06-05,2019-06-06,ND,ND,ND,2680,ND,ND,ND,
375/19,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,SURFACE,2019-06-04,2019-06-05,2019-06-06,ND,120,ND,4000,ND,ND,ND,Additional flesh & water samples requested
376/19,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,SURFACE,2019-06-04,2019-06-05,2019-06-06,ND,80,ND,1280,ND,ND,ND,
377/19,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow Cove North,POLE,2019-06-04,2019-06-05,2019-06-06,ND,480,ND,40760,ND,ND,ND,Additional flesh samples requested
378/19,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,SURFACE,2019-06-04,2019-06-05,2019-06-06,ND,200,ND,1640,ND,ND,ND,Additional flesh samples requested
379/19,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,POLE,2019-06-04,2019-06-05,2019-06-06,ND,ND,ND,ND,ND,ND,ND,
380/19,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,SURFACE,2019-06-04,2019-06-05,2019-06-06,ND,ND,ND,ND,ND,ND,ND,
381/19,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,SURFACE,2019-06-04,2019-06-05,2019-06-06,ND,ND,ND,ND,ND,ND,ND,
382/19,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,SURFACE,2019-06-05,2019-06-06,2019-06-07,ND,ND,ND,ND,ND,ND,61160,
383/19,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,SURFACE,2019-06-05,2019-06-06,2019-06-07,ND,ND,ND,3200,ND,ND,ND,
384/19,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,POLE,2019-06-05,2019-06-06,2019-06-07,ND,ND,ND,7000,ND,ND,ND,
385/19,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,POLE,2019-06-05,2019-06-06,2019-06-07,ND,ND,ND,600,ND,ND,ND,
386/19,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,POLE,2019-06-05,2019-06-06,2019-06-07,UNABLE TO ANALYSE TOO MUCH SEDIMENT,,,,,,,Additional water sample requested
387/19,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,POLE,2019-06-05,2019-06-06,2019-06-07,ND,ND,ND,1320,ND,ND,ND,
388/19,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,SURFACE,2019-06-05,2019-06-06,2019-06-07,ND,ND,ND,480,ND,ND,ND,
389/19,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,SURFACE,2019-06-05,2019-06-06,2019-06-07,ND,ND,ND,600,ND,ND,ND,
390/19,The Thames,B16BR,London PHA,TQ93798271,Phoenix,SURFACE,2019-06-05,2019-06-06,2019-06-07,ND,ND,ND,480,ND,ND,ND,
391/19,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,SURFACE,2019-06-05,2019-06-06,2019-06-07,ND,ND,ND,ND,ND,ND,ND,
392/19,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,POLE,2019-06-05,2019-06-06,2019-06-07,ND,100,ND,6000,ND,ND,100,Additional flesh & water sample requested
393/19,Porlock,B094D,Somerset West and Taunton Council,SS87114787,Porlock East,POLE,2019-06-05,2019-06-06,2019-06-07,ND,ND,ND,800,ND,ND,ND,
394/19,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,POLE,2019-06-05,2019-06-07,2019-06-10,ND,ND,ND,ND,ND,ND,ND,
395/19,Lyme Bay,B090V,Dorset,SY45918886,Lyme Bay Ensis West,POLE,2019-06-10,2019-06-11,2019-06-12,ND,ND,ND,480,ND,ND,ND,
396/19,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,POLE,2019-06-10,2019-06-11,2019-06-12,ND,ND,ND,1800,ND,ND,ND,
397/19,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,SURFACE,2019-06-10,2019-06-11,2019-06-12,ND,ND,ND,ND,ND,ND,ND,
398/19,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,POLE,2019-06-10,2019-06-11,2019-06-12,ND,ND,ND,160,ND,ND,ND,
399/19,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2019-06-10,2019-06-11,2019-06-12,ND,ND,ND,560,ND,ND,ND,
400/19,Fal,B33AN,Cornwall PHA,SW81963551,Mylor Creek,POLE,2019-06-11,2019-06-12,2019-06-13,ND,ND,ND,14000,ND,ND,ND,
401/19,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,POLE,2019-06-11,2019-06-12,2019-06-13,ND,ND,ND,7100,ND,ND,ND,
402/19,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,POLE,2019-06-11,2019-06-12,2019-06-13,UNABLE TO ANALYSE TOO MUCH SEDIMENT,,,,,,,Additional water sample requested
403/19,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,POLE,2019-06-11,2019-06-12,2019-06-13,ND,40,ND,3760,ND,ND,ND,
404/19,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,POLE,2019-06-11,2019-06-12,2019-06-13,ND,ND,ND,3600,ND,ND,ND,
405/19,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,POLE,2019-06-11,2019-06-12,2019-06-13,ND,ND,ND,4800,ND,ND,ND,
406/19,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,POLE,2019-06-10,2019-06-12,2019-06-13,ND,ND,ND,53760,ND,ND,ND,
407/19,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,TUBE,2019-06-10,2019-06-12,2019-06-13,ND,40,ND,12560,ND,ND,ND,
408/19,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,TUBE,2019-06-12,2019-06-13,2019-06-14,ND,ND,ND,ND,ND,ND,ND,
410/19,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,SURFACE,2019-06-12,2019-06-13,2019-06-14,ND,ND,ND,24800,ND,ND,ND,
411/19,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,SURFACE,2019-06-12,2019-06-13,2019-06-14,ND,ND,ND,2200,ND,ND,ND,
412/19,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,POLE,2019-06-12,2019-06-13,2019-06-14,40,40,ND,800,ND,ND,ND,Additional flesh and water samples reqauested
413/19,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,POLE,2019-06-13,2019-06-14,2019-06-17,ND,ND,ND,500,ND,ND,ND,
414/19,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,POLE,2019-06-17,2019-06-18,2019-06-19,ND,320,ND,1120,ND,ND,ND,Additional water and flesh sample requested.
415/19,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,SURFACE,2019-06-17,2019-06-18,2019-06-19,ND,ND,ND,3920,ND,ND,ND,
416/19,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,POLE,2019-06-17,2019-06-18,2019-06-19,ND,ND,ND,28360,ND,ND,ND,
417/19,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,SURFACE,2019-06-16,2019-06-18,2019-06-19,ND,40,ND,840,ND,ND,ND,
418/19,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,SURFACE,2019-06-17,2019-06-18,2019-06-19,ND,ND,ND,1900,ND,ND,ND,
419/19,Roach,B73AF,London PHA,TQ94909207,Paglesham,SURFACE,2019-06-17,2019-06-18,2019-06-19,ND,ND,ND,ND,ND,ND,ND,
420/19,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,SURFACE,2019-06-16,2019-06-18,2019-06-19,ND,ND,ND,ND,ND,ND,ND,
421/19,Dart,B028B,South Hams DC,SX87415599,Waddeton,POLE,2019-06-17,2019-06-18,2019-06-19,ND,ND,ND,165000,ND,ND,ND,Additional water and flesh sample requested.
422/19,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,POLE,2019-06-17,2019-06-18,2019-06-19,ND,ND,ND,2040,ND,ND,ND,
423/19,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,POLE,2019-06-17,2019-06-18,2019-06-19,40,ND,ND,2080,ND,ND,ND,Additional water and flesh sample requested.
424/19,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,POLE,2019-06-17,2019-06-18,2019-06-19,ND,40,ND,1520,ND,ND,ND,
425/19,The Wash,B003V,Boston BC,TF44234098,Toft,SURFACE,2019-06-18,2019-06-19,2019-06-20,ND,ND,ND,ND,ND,ND,ND,
426/19,Poole,B54CU,"Bournemouth, Poole and Christchurch Council",SZ09079041,Poole Coastal,POLE,2019-06-18,2019-06-19,2019-06-20,ND,ND,ND,3920,ND,ND,ND,
427/19,Poole,B54BL,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,POLE,2019-06-18,2019-06-19,2019-06-20,ND,ND,ND,1800,ND,ND,ND,
428/19,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,SURFACE,2019-06-18,2019-06-19,2019-06-20,ND,ND,ND,67800,ND,ND,ND,
