SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,SampleCollectionMethod,DateSampleCollected,DateSampleArrivedAtLowestoft,DateOfAnalysisAndResultsReported,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1,ActionRequired
30-17,Portsmouth Harbour,B020I,Portsmouth PHA,SU65040457,Tipner Bridge,Pole,2017-01-12,2017-01-13,2017-01-16,ND,ND,ND,ND,ND,ND,ND,
31-17,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,Pole,2017-01-16,2017-01-17,2017-01-18,ND,ND,ND,80,ND,ND,ND,
32-17,Fowey,B70AA,Cornwall PHA,SX12595313,Wisemans,Pole,2017-01-16,2017-01-17,2017-01-18,ND,40,ND,280,ND,ND,ND,
33-17,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,Surface,2017-01-16,2017-01-17,2017-01-18,ND,ND,ND,400,ND,ND,ND,
34-17,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,Pole,2017-01-16,2017-01-17,2017-01-18,ND,ND,ND,680,ND,ND,ND,
35-17,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,Pole,2017-01-16,2017-01-17,2017-01-18,ND,ND,ND,480,ND,ND,ND,
36-17,The Wash,B003V,Boston BC,TF44234098,Toft,Surface,2017-01-16,2017-01-18,2017-01-19,ND,ND,ND,80,ND,ND,ND,
37-17,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,Surface,2017-01-16,2017-01-18,2017-01-19,ND,ND,ND,ND,ND,ND,ND,
38-17,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,Tube,2017-01-17,2017-01-18,2017-01-19,ND,ND,ND,ND,ND,ND,ND,
39-17,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North ,Surface,2017-01-18,2017-01-19,2017-01-20,ND,ND,ND,ND,ND,ND,ND,
40-17,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,Surface,2017-01-18,2017-01-19,2017-01-20,ND,ND,ND,160,ND,ND,ND,
41-17,Fal ,B33BG,Cornwall PHA,SW82803517,Mylor Pool,Surface,2017-01-18,2017-01-19,2017-01-20,ND,ND,ND,ND,ND,ND,ND,
42-17,Fal ,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,Surface,2017-01-18,2017-01-19,2017-01-20,ND,ND,ND,ND,ND,ND,ND,
43-17,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,Surface,2017-01-18,2017-01-19,2017-01-20,ND,ND,ND,400,ND,ND,ND,
44-17,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,Surface,2017-01-18,2017-01-19,2017-01-20,ND,ND,ND,ND,ND,ND,ND,
45-17,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,Pole,2017-01-18,2017-01-19,2017-01-20,ND,ND,ND,ND,ND,ND,ND,
46-17,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,Pole,2017-01-18,2017-01-19,2017-01-20,ND,ND,ND,680,ND,ND,ND,
47-17,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,Pole,2017-01-18,2017-01-19,2017-01-20,ND,ND,ND,1080,ND,ND,ND,
48-17,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,Tube,2017-01-18,2017-01-19,2017-01-20,ND,ND,ND,400,ND,ND,ND,
49-17,Swale,B076P,Swale BC,TR01316497,The Causeway,Surface,2017-01-19,2017-01-20,2017-01-23,ND,ND,ND,ND,ND,ND,ND,
50-17,Brixham ,B082B,Torbay BC,SX90965741,Fishcombe Cove SW Corner,Pole,2017-01-19,2017-01-20,2017-01-23,ND,ND,ND,520,ND,ND,ND,
51-17,Lune,B066Y,Wyre BC,SD34504722,Sea Centre South,Pole,2017-01-18,2017-01-20,2017-01-23,ND,ND,ND,ND,ND,ND,ND,
53-17,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,Surface,2017-01-22,2017-01-24,2017-01-25,ND,ND,ND,800,ND,ND,ND,
54-17,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,Surface,2017-01-22,2017-01-24,2017-01-25,ND,ND,ND,480,ND,ND,ND,
55-17,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,Surface,2017-01-24,2017-01-25,2017-01-26,ND,ND,ND,200,ND,ND,ND,
56-17,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier ,Surface,2017-01-30,2017-01-31,2017-02-01,ND,ND,ND,ND,ND,ND,ND,
57-17,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,Surface,2017-01-29,2017-01-31,2017-02-01,ND,ND,ND,ND,ND,ND,ND,
58-17,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,Surface,2017-01-31,2017-02-01,2017-02-02,ND,200,ND,2400,ND,ND,ND,Additional flesh and water samples requested
59-17,Morecambe Bay - East ,B047P,Lancaster CC,SD44196535,Bare Ayre East,Pole,2017-01-31,2017-02-01,2017-02-02,ND,ND,ND,ND,ND,ND,ND,
60-17,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,Surface,2017-01-31,2017-02-01,2017-02-02,ND,ND,ND,ND,ND,ND,ND,
61-17,Blackwater,B14AD,Maldon DC,TM06910846,St Peters Flats ,Surface,2017-02-01,2017-02-02,2017-02-03,ND,ND,ND,ND,ND,ND,ND,
62-17,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,Surface,2017-02-02,2017-02-03,2017-02-06,ND,ND,ND,800,ND,ND,ND,
63-17,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,Pole,2017-02-06,2017-02-07,2017-02-08,ND,ND,ND,80,ND,ND,ND,
64-17,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,Pole,2017-02-06,2017-02-07,2017-02-08,ND,ND,ND,120,ND,ND,ND,
65-17,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,Pole,2017-02-06,2017-02-07,2017-02-08,ND,ND,ND,ND,ND,ND,ND,
66-17,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,Tube,2017-02-07,2017-02-08,2017-02-09,ND,ND,ND,ND,ND,ND,ND,
68-17,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,Pole,2017-02-07,2017-02-08,2017-02-09,ND,ND,ND,ND,ND,ND,40,
69-17,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,Pole,2017-02-07,2017-02-08,2017-02-09,ND,ND,ND,ND,ND,ND,ND,
70-17,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,Pole,2017-02-07,2017-02-08,2017-02-09,ND,ND,ND,200,ND,ND,ND,
71-17,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,Pole,2017-02-07,2017-02-08,2017-02-09,ND,ND,ND,ND,ND,ND,ND,
72-17,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,Pole,2017-02-07,2017-02-08,2017-02-09,ND,ND,ND,320,ND,ND,ND,
73-17,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,Pole,2017-02-08,2017-02-09,2017-02-10,ND,ND,ND,ND,ND,ND,ND,
74-17,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,Pole,2017-02-08,2017-02-09,2017-02-10,ND,ND,ND,ND,ND,ND,ND,
75-17,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,Pole,2017-02-08,2017-02-09,2017-02-10,ND,ND,ND,ND,ND,ND,ND,
76-17,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,Surface,2017-02-08,2017-02-09,2017-02-10,ND,ND,ND,2480,ND,ND,ND,
77-17,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,Surface,2017-02-09,2017-02-10,2017-02-13,ND,ND,ND,ND,ND,ND,ND,
78-17,Roach,B73AF,London PHA,TQ94909207,Paglesham,Surface,2017-02-09,2017-02-10,2017-02-13,ND,ND,ND,ND,ND,ND,ND,
79-17,Dart,B028B,South Hams DC,SX87415599,Waddeton,Pole,2017-02-09,2017-02-10,2017-02-13,ND,ND,ND,120,ND,ND,ND,
80-17,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,Tube,2017-02-13,2017-02-14,2017-02-15,ND,ND,ND,ND,ND,ND,ND,
81-17,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4 ,Surface,2017-02-13,2017-02-14,2017-02-15,ND,ND,ND,800,ND,ND,ND,
82-17,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point ,Surface,2017-02-13,2017-02-14,2017-02-15,ND,ND,ND,ND,ND,ND,ND,
83-17,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,Surface,2017-02-12,2017-02-14,2017-02-15,ND,40,ND,160,ND,ND,ND,
84-17,Portsmouth Harbour,B020I,Portsmouth PHA,SU65040457,Tipner Bridge,Pole,2017-02-13,2017-02-14,2017-02-15,ND,ND,ND,ND,ND,ND,ND,
85-17,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,Surface,2017-02-14,2017-02-15,2017-02-16,ND,ND,ND,ND,ND,ND,ND,
86-17,Fal ,B33BG,Cornwall PHA,SW82803517,Mylor Pool,Surface,2017-02-14,2017-02-15,2017-02-16,ND,ND,ND,600,ND,ND,ND,
87-17,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,Surface,2017-02-14,2017-02-15,2017-02-16,ND,ND,ND,240,ND,ND,ND,
88-17,Langstone Harbour ,B019I,Portsmouth PHA,SU70940291,Stoke Common Lake,Pole,2017-02-14,2017-02-15,2017-02-16,ND,ND,ND,1000,ND,ND,ND,
89-17,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,Pole,2017-02-13,2017-02-15,2017-02-16,ND,ND,ND,ND,ND,ND,ND,
90-17,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,Tube,2017-02-15,2017-02-16,2017-02-17,ND,ND,ND,ND,ND,ND,ND,
91-17,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier ,Surface,2017-02-15,2017-02-16,2017-02-17,ND,ND,ND,ND,ND,ND,ND,
92-17,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,Pole,2017-02-15,2017-02-16,2017-02-17,ND,ND,ND,80,ND,ND,ND,
93-17,Salcombe ,B029D,South Hams DC,SX75554148,Geese Quarries,Pole,2017-02-15,2017-02-16,2017-02-17,ND,ND,ND,80,ND,ND,ND,
94-17,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,Tube,2017-02-15,2017-02-16,2017-02-17,ND,ND,ND,ND,ND,ND,ND,
95-17,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,Pole,2017-02-16,2017-02-17,2017-02-20,ND,ND,ND,300,ND,ND,ND,
96-17,Swale,B076P,Swale BC,TR01316497,The Causeway,Surface,2017-02-16,2017-02-17,2017-02-20,ND,ND,ND,ND,ND,ND,ND,
97-17,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,Surface,2017-02-19,2017-02-21,2017-02-22,ND,ND,ND,ND,ND,ND,ND,
98-17,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,Surface,2017-02-19,2017-02-21,2017-02-22,ND,ND,ND,ND,ND,ND,ND,
99-17,Lune,B066Y,Wyre BC,SD34504722,Sea Centre South,Pole,2017-02-17,2017-02-21,2017-02-22,ND,ND,ND,720,ND,ND,ND,
101-17,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,Pole,2017-02-21,2017-02-22,2017-02-23,ND,ND,ND,1240,ND,ND,ND,
102-17,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,Pole,2017-02-21,2017-02-22,2017-02-23,ND,ND,ND,2200,ND,ND,ND,
103-17,Brixham ,B082B,Torbay BC,SX90965741,Fishcombe Cove SW Corner,Pole,2017-02-21,2017-02-22,2017-02-23,ND,ND,ND,2240,ND,ND,ND,
104-17,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,Surface,2017-02-22,2017-02-23,2017-02-24,ND,ND,ND,ND,ND,ND,ND,
105-17,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,Pole,2017-02-23,2017-02-24,2017-02-27,ND,ND,ND,240,ND,ND,ND,
106-17,Fowey,B70AA,Cornwall PHA,SX12595313,Wisemans,Pole,2017-02-23,2017-02-24,2017-02-27,ND,ND,ND,640,ND,ND,ND,
107-17,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,Pole,2017-02-23,2017-02-24,2017-02-27,ND,ND,ND,200,ND,ND,ND,
108-17,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,Tube,2017-02-21,2017-02-24,2017-02-27,ND,ND,ND,1160,ND,ND,ND,
109-17,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,Surface,2017-02-27,2017-02-28,2017-03-01,ND,ND,ND,1240,ND,ND,ND,
110-17,Morecambe Bay - East ,B047P,Lancaster CC,SD44196535,Bare Ayre East,Pole,2017-02-27,2017-02-28,2017-03-01,ND,ND,ND,ND,ND,ND,ND,
111-17,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,Surface,2017-02-28,2017-03-01,2017-03-02,ND,ND,ND,ND,ND,ND,ND,
112-17,Fal ,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,Surface,2017-02-28,2017-03-01,2017-03-02,ND,ND,ND,400,ND,ND,ND,
113-17,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,Surface,2017-03-01,2017-03-02,2017-03-03,ND,ND,ND,ND,ND,ND,ND,
114-17,Blackwater,B14AD,Maldon DC,TM06910846,St Peters Flats ,Surface,2017-03-01,2017-03-02,2017-03-03,ND,ND,ND,200,ND,ND,ND,
115-17,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,Pole,2017-03-06,2017-03-07,2017-03-08,ND,ND,ND,200,ND,ND,ND,
116-17,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,Pole,2017-03-06,2017-03-07,2017-03-08,ND,ND,ND,500,ND,ND,ND,
117-17,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,Pole,2017-03-06,2017-03-07,2017-03-08,ND,ND,ND,ND,ND,ND,ND,
118-17,Swale,B076P,Swale BC,TR01316497,The Causeway,Surface,2017-03-06,2017-03-07,2017-03-08,ND,ND,ND,ND,ND,ND,ND,
119-17,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,Pole,2017-03-06,2017-03-08,2017-03-09,ND,ND,ND,ND,ND,ND,ND,
120-17,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,Pole,2017-03-06,2017-03-08,2017-03-09,ND,ND,ND,ND,ND,ND,ND,
121-17,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,Pole,2017-03-07,2017-03-08,2017-03-09,ND,ND,ND,ND,ND,ND,ND,
122-17,Taw-Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,Pole,2017-03-07,2017-03-08,2017-03-09,ND,ND,ND,ND,ND,ND,ND,
123-17,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,Pole,2017-03-07,2017-03-08,2017-03-09,ND,ND,ND,600,ND,ND,ND,
124-17,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,Tube,2017-03-09,2017-03-10,2017-03-13,ND,ND,ND,ND,ND,ND,ND,
126-17,Roach,B73AF,London PHA,TQ94909207,Paglesham,Surface,2017-03-09,2017-03-10,2017-03-13,ND,ND,ND,ND,ND,ND,ND,
127-17,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,Pole,2017-03-09,2017-03-10,2017-03-13,ND,ND,ND,80,ND,ND,ND,
128-17,The Wash,B003V,Boston BC,TF44234098,Toft,Surface,2017-03-13,2017-03-14,2017-03-15,ND,ND,ND,600,ND,ND,ND,
129-17,Burry Inlet,B038D,Carmarthenshire CC,SS50209860,Machynys,Tube,2017-03-13,2017-03-14,2017-03-15,ND,ND,ND,ND,ND,ND,ND,
130-17,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4 ,Surface,2017-03-13,2017-03-14,2017-03-15,ND,ND,ND,200,ND,ND,ND,
131-17,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point ,Surface,2017-03-13,2017-03-14,2017-03-15,ND,ND,ND,ND,ND,ND,ND,
132-17,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,Pole,2017-03-13,2017-03-14,2017-03-15,ND,ND,ND,320,ND,ND,ND,
133-17,Fowey,B70AA,Cornwall PHA,SX12595313,Wisemans,Pole,2017-03-13,2017-03-14,2017-03-15,ND,ND,ND,240,ND,ND,ND,
134-17,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,Pole,2017-03-13,2017-03-14,2017-03-15,ND,ND,ND,1200,ND,ND,ND,
135-17,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,Pole,2017-03-13,2017-03-14,2017-03-15,ND,ND,ND,920,ND,ND,ND,
136-17,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier ,Surface,2017-03-13,2017-03-14,2017-03-15,ND,ND,ND,1040,ND,ND,ND,
137-17,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,Surface,2017-03-12,2017-03-14,2017-03-15,ND,ND,ND,80,ND,ND,ND,
138-17,Langstone Harbour ,B019I,Portsmouth PHA,SU70940291,Stoke Common Lake,Pole,2017-03-13,2017-03-14,2017-03-15,ND,ND,ND,800,ND,ND,ND,
139-17,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,Surface,2017-03-13,2017-03-14,2017-03-15,ND,ND,ND,640,ND,ND,ND,
140-17,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,Pole,2017-03-14,2017-03-15,2017-03-16,ND,ND,ND,360,ND,ND,ND,
141-17,Portsmouth Harbour,B020I,Portsmouth PHA,SU65040457,Tipner Bridge,Pole,2017-03-13,2017-03-15,2017-03-16,ND,ND,ND,1160,ND,ND,ND,
142-17,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,Pole,2017-03-14,2017-03-15,2017-03-16,ND,ND,ND,120,ND,ND,ND,
143-17,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar,Surface,2017-03-14,2017-03-15,2017-03-16,ND,ND,ND,ND,ND,ND,200,
144-17,Fal ,B33BG,Cornwall PHA,SW82803517,Mylor Pool,Surface,2017-03-14,2017-03-15,2017-03-16,ND,ND,ND,360,ND,ND,ND,
145-17,Fal ,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,Surface,2017-03-14,2017-03-15,2017-03-16,ND,ND,ND,600,ND,ND,ND,
146-17,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,Pole,2017-03-15,2017-03-16,2017-03-17,ND,ND,ND,880,ND,ND,ND,
147-17,Dart,B028B,South Hams DC,SX87415599,Waddeton,Pole,2017-03-15,2017-03-16,2017-03-17,ND,ND,ND,320,ND,ND,ND,
148-17,Salcombe ,B029D,South Hams DC,SX75554148,Geese Quarries,Pole,2017-03-15,2017-03-16,2017-03-17,ND,ND,ND,ND,ND,ND,ND,
149-17,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,Pole,2017-03-15,2017-03-16,2017-03-17,ND,ND,ND,ND,ND,ND,ND,
150-17,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,Pole,2017-03-16,2017-03-17,2017-03-20,ND,ND,ND,2800,ND,ND,ND,
151-17,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,Pole,2017-03-16,2017-03-17,2017-03-20,ND,40,ND,520,ND,ND,ND,
152-17,Lune,B066Y,Wyre BC,SD34504722,Sea Centre South,Pole,2017-03-14,2017-03-17,2017-03-20,ND,ND,ND,200,ND,ND,ND,
154-17,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,Surface,2017-03-20,2017-03-21,2017-03-22,ND,ND,ND,ND,ND,ND,ND,
155-17,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,Tube,2017-03-20,2017-03-21,2017-03-22,ND,ND,ND,80,ND,ND,ND,
156-17,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,Pole,2017-03-20,2017-03-21,2017-03-22,ND,ND,ND,440,ND,ND,ND,
157-17,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,Pole,2017-03-20,2017-03-21,2017-03-22,ND,ND,ND,300,ND,ND,ND,
158-17,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,Pole,2017-03-20,2017-03-22,2017-03-23,ND,ND,ND,ND,ND,ND,ND,
159-17,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,Surface,2017-03-21,2017-03-22,2017-03-23,ND,ND,ND,200,ND,ND,ND,
160-17,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,Tube,2017-03-21,2017-03-22,2017-03-23,ND,ND,ND,720,ND,ND,ND,
161-17,Brixham ,B082B,Torbay BC,SX90965741,Fishcombe Cove SW Corner,Pole,2017-03-21,2017-03-22,2017-03-23,ND,ND,ND,1560,ND,ND,ND,
162-17,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,Surface,2017-03-27,2017-03-28,2017-03-29,200,ND,ND,1500,ND,ND,ND,
163-17,Morecambe Bay - East ,B047P,Lancaster CC,SD44196535,Bare Ayre East,Pole,2017-03-27,2017-03-28,2017-03-29,ND,ND,ND,ND,ND,ND,ND,
164-17,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,Surface,2017-03-28,2017-03-29,2017-03-30,ND,ND,ND,ND,ND,ND,ND,
165-17,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,Surface,2017-04-03,2017-04-04,2017-04-05,ND,ND,ND,2600,ND,ND,ND,
166-17,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,Pole,2017-04-03,2017-04-04,2017-04-05,ND,ND,ND,ND,ND,ND,ND,
167-17,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,Tube,2017-04-03,2017-04-04,2017-04-05,ND,ND,ND,400,ND,ND,ND,
