SampleId,SiteNumber,SiteLocation,SampleDate,Alexandrium_sp_PSP,Karenia_mikimotoi_PotentiallyToxicToFish,Protoperidinium_crassipes,PSP_Lingulodinium_polyedrum,Gyrodinium_aureolum_PotentiallyToxicToFish,Dinophysis_sp_P_lima_DSP,Pseudonitzschia_ASP,SampleMethod,Comments
130,19,Milford Haven C.Spit,2003-07-28,2840,320,,,,0,0,surface,
128,22,Colchester,2003-07-28,0,0,,,,0,0,surface,
127,34,North Kent Coast,2003-07-28,0,0,,,,0,0,surface,
133,38,Fowey,2003-07-28,160,3240,,,,0,6440,surface,
129,41,Mawddach,2003-07-28,0,0,,,,0,0,surface,
135,42,Glaslyn,2003-07-29,0,0,,,,2,0,surface,
134,62,Plymouth,2003-07-28,0,0,,,,0,0,surface,
142,6,Wash  Daseleys,2003-08-04,0,0,,,,0,0,surface,
143,6,Wash Gat,2003-08-04,0,0,,,,0,0,surface,
144,6,Wash Butterwick,2003-08-04,0,0,,,,0,0,surface,
150,9,Weymouth. I.H,2003-08-05,3160,0,,,,0,4320,surface,
146,12,Fal Turnaware p,2003-08-05,480,0,,,,0,840,tube,
145,13,Burry  Machynys,2003-08-04,0,0,,,,0,0,surface,
149,19,milford haven l. quay,2003-08-04,120,0,,,,0,0,surface,
148,19,Milford Haven c.spit,2003-08-04,480,0,,,,0,0,surface,
138,22,Colchester,2003-07-29,0,0,,,,0,0,surface,
147,31,Ribble,2003-08-05,0,0,,,,16,3760,tube,
137,32,Morecambe Bay,2003-07-29,0,0,,,,0,0,surface,
141,34,North Kent Coast,2003-08-04,0,0,,,,0,0,surface,
140,38,Fowey,2003-07-31,320,560,,,,0,3840,surface,
139,64,R.Dart,2003-07-29,0,0,,,,0,0,surface,
168,1,Holy Island,2003-08-12,0,,,,,0,0,surface,
153,6,Wash  Daseleys,2003-08-11,0,,,,,0,0,surface,
154,6,Wash  Gat 13:20,2003-08-11,0,,,,,0,0,surface,
157,6,Wash  Gat 08:37,2003-08-11,0,,,,,0,0,surface,
165,7,Thames  Chapman S,2003-08-11,0,,,,,0,0,tube,
162,9,Weymouth. I.H,2003-08-11,3720,,,,,0,160,surface,
156,12,Fal Turnaware p,2003-08-11,0,,,,,0,400,surface,
160,13,Burry  Machynys,2003-08-11,0,,,,,0,0,surface,
163,18,Blyth  Northumberland,2003-08-11,0,,,,,0,680,tube,
159,19,Milford  Coedcanlas sp,2003-08-11,200,,,,,0,0,tube,
161,19,Milford  Lawrenny Q,2003-08-11,0,,,,,0,0,tube,
167,31,Ribble,2003-08-11,0,,,,,0,1600,surface,
166,32,Morecambe Bay,2003-08-12,0,,,,,0,0,surface,
158,34,North Kent  Seasalter,2003-08-11,0,,,,,0,0,surface,
152,38,Fowey,2003-08-07,0,,,,,0,28200,surface,
155,47,Camel,2003-08-11,0,,,,,0,360,surface,
164,60,Lymington,2003-08-11,0,,,,,0,0,tube,
173,6,Wash Gat,2003-08-18,0,0,,,,0,0,surface,
172,6,Wash Butterwick,2003-08-18,0,0,,,,2,0,surface,
175,9,Weymouth. I.H,2003-08-18,1160,0,,,,0,0,surface,
176,12,Fal Turnaware p,2003-08-18,1080,0,,,,0,0,tube,
180,13,Burry  Machynys,2003-08-18,0,0,,,,0,0,surface,
169,17,Avon Hhexdown Quay,2003-08-13,2800,0,,,,0,440,surface,
178,18,Blyth  Northumberland,2003-08-20,0,0,,,,4,3600,tube,
170,38,Fowey,2003-08-15,0,6000,,,,0,10360,surface,
171,42,Glaslyn,2003-08-13,800,0,,,,0,0,surface,
177,44,Dee  Caldy Blacks,2003-08-18,0,0,,,,0,0,surface,
179,53,Langstone Harbour,2003-08-19,0,0,,,,0,0,tube,
174,62,Plymouth,2003-08-18,0,400,,,,6,0,surface,
193,6,Wash Gat,2003-09-01,0,0,,,,0,0,surface,
196,6,Wash Butterwick,2003-09-01,0,0,,,,0,0,surface,
194,9,Weymouth. I.H,2003-09-01,440,80,,,,0,0,surface,
199,12,Fal Turnaware p,2003-09-02,0,0,,,,0,0,tube,
195,13,burry south east,2003-09-01,0,0,,,,0,0,surface,
192,13,Burry  Machynys,2003-09-01,0,0,,,,0,0,surface,
189,19,milford haven l.quay,2003-08-28,160,0,,,,0,0,surface,
190,19,milford haven c. spit,2003-08-28,240,0,,,,0,0,surface,
198,22,Colchester,2003-09-03,0,0,,,,0,0,surface,
197,31,Ribble,2003-09-02,0,0,,,,0,0,surface,
191,32,Morecambe Bay,2003-08-28,440,0,,,,0,200,surface,
200,32,Morecambe Bay,2003-09-02,0,0,,,,0,0,surface,
188,42,Glaslyn,2003-08-27,0,0,,,,0,0,surface,
207,6,Wash  Gat Sand,2003-09-08,0,,,,,0,240,surface,
208,6,Wash  Daseleys,2003-09-08,0,,,,,0,0,surface,
203,7,Thames  Chapman Sands,2003-09-08,0,,,,,0,0,tube,
206,9,Weymouth Inner Harbour,2003-09-08,0,,,,,0,600,surface,
205,13,Burry  Machynys D,2003-09-08,0,,,,,0,0,surface,
214,17,Avon  Hexdown Quay,2003-09-10,0,,,,,0,0,surface,
215,19,Milford Lawrenny Quay,2003-09-09,80,,,,,2,0,surface,
217,19,Milford  Coedcanlas Spit,2003-09-09,0,,,,,0,0,surface,
216,22,Colchester  E Mersea,2003-09-10,0,,,,,0,0,surface,
204,22,Colchester  W Mersea,2003-09-08,0,,,,,0,0,surface,
213,32,Morecambe Bay,2003-09-09,0,,,,,0,0,surface,
210,34,North Kent Coast,2003-09-08,0,,,,,0,0,surface,
212,38,Fowey,2003-09-09,0,,,,,P.lima 2,600,surface,
201,44,Dee  Caldy Blacks,2003-09-03,0,,,,,0,0,surface,
202,47,Camel,2003-09-08,0,,,,,0,160,surface,
211,60,Lymington,2003-09-08,0,,,,,0,0,tube,
209,64,River Dart,2003-09-09,0,,,,,0,0,surface,
224,1,Holy Island,2003-09-15,0,,,,,0,0,surface,
225,6,Wash  Daseleys,2003-09-15,0,,,,,0,0,surface,
226,6,Wash  Butterwick,2003-09-15,0,,,,,0,0,surface,
227,9,Weymouth Inner Harbour,2003-09-16,0,,,,,0,0,surface,
223,12,Fal  Turnaware Pontoon,2003-09-15,0,,,,,0,0,tube,
221,13,Burry  Machynys,2003-09-15,0,,,,,0,0,surface,
228,34,North Kent Coast,2003-09-16,0,,,,,0,0,surface,
222,34,North Kent Coast,2003-09-15,0,,,,,0,0,surface,
219,41,Mawddach,2003-09-11,0,,,,,0,0,surface,
220,53,Langstone Harbour,2003-09-16,0,,,,,0,0,tube,
