DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
1974-09-15,      36.024,
1974-10-15,      35.926,
1974-11-15,      35.866,
1974-12-15,      35.884,
1975-01-15,      35.775,
1975-02-15,      35.877,
1975-03-15,      35.879,
1975-04-15,      35.891,
1975-05-15,      35.920,
1975-06-15,      35.834,
1975-07-15,      35.826,
1975-08-15,      35.754,
1975-09-15,      35.881,
1975-10-15,      35.869,
1975-11-15,      35.938,
1975-12-15,      35.648,
1976-01-15,      35.890,
1976-02-15,      36.002,
1976-03-15,      35.826,
1976-04-15,      35.675,
1976-05-15,      35.606,
1976-06-15,      35.572,
1976-07-15,      35.785,
1976-08-15,      35.850,
1976-09-15,      35.783,
1976-10-15,      35.690,
1976-11-15,      35.704,
1976-12-15,      35.732,
1977-01-15,      35.891,
1977-02-15,      35.855,
1977-03-15,      35.835,
1977-04-15,      35.700,
1977-05-15,      35.927,
1977-06-15,      35.905,
1977-07-15,      35.947,
1977-08-15,      35.969,
1977-09-15,      35.849,
1977-10-15,      35.992,
1977-11-15,      35.921,
1977-12-15,      35.929,
1978-01-15,      35.924,
1978-02-15,      35.862,
1978-03-15,      35.883,
1978-04-15,      35.908,
1978-05-15,      35.912,
1978-06-15,      35.980,
1978-07-15,      36.002,
1978-08-15,      35.964,
1978-09-15,      35.908,
1978-10-15,      35.694,
1978-11-15,      35.679,
1978-12-15,      35.721,
1979-01-15,      35.751,
1979-02-15,      35.774,
1979-03-15,      35.883,
1979-04-15,      35.770,
1979-05-15,      35.894,
1979-06-15,      35.949,
1979-07-15,      35.961,
1979-08-15,      35.979,
1979-09-15,      35.989,
1979-10-15,      35.944,
1979-11-15,      35.815,
1979-12-15,      35.682,
1980-01-15,      35.782,
1980-02-15,      35.982,
1980-03-15,      35.999,
1980-04-15,      35.983,
1980-05-15,      35.984,
1980-06-15,      35.995,
1980-07-15,      36.106,
1980-08-15,      36.090,
1980-09-15,      36.014,
1980-10-15,      36.134,
1980-11-15,      35.864,
1980-12-15,      35.912,
1981-01-15,      35.919,
1981-02-15,      35.916,
1981-03-15,      35.937,
1981-04-15,      35.952,
1981-05-15,      35.960,
1981-06-15,      35.973,
1981-07-15,      36.056,
1981-08-15,      36.021,
1981-09-15,      36.043,
1981-10-15,      36.009,
1981-11-15,      36.022,
1981-12-15,      35.828,
1982-01-15,      35.857,
1982-02-15,      35.783,
1982-03-15,      35.707,
1982-04-15,      35.785,
1982-05-15,      35.809,
1982-06-15,      35.838,
1982-07-15,      35.950,
1982-08-15,      35.978,
1982-09-15,      35.977,
1982-10-15,      35.989,
1982-11-15,      35.979,
1982-12-15,      35.943,
1983-01-15,      35.906,
1983-02-15,      35.644,
1983-03-15,      36.245,
1983-04-15,      36.240,
1983-05-15,      36.230,
1983-06-15,      36.302,
1983-07-15,      36.128,
1983-08-15,      36.129,
1983-09-15,      36.102,
1983-10-15,      36.189,
1983-11-15,      36.082,
1983-12-15,      36.074,
1984-01-15,      36.027,
1984-02-15,      35.931,
1984-03-15,      35.843,
1984-04-15,      35.753,
1984-05-15,      35.776,
1984-06-15,      35.811,
1984-07-15,      35.976,
1984-08-15,      35.994,
1984-09-15,      35.992,
1984-10-15,      35.860,
1984-11-15,      35.955,
1984-12-15,      35.964,
1985-01-15,      35.969,
1985-02-15,      35.936,
1985-03-15,      35.879,
1985-04-15,      35.867,
1985-05-15,      35.948,
1985-06-15,      36.125,
1985-07-15,      36.075,
1985-08-15,      36.095,
1985-09-15,      36.113,
1985-10-15,      36.085,
1985-11-15,      36.026,
1985-12-15,      36.022,
1986-01-15,      36.041,
1986-02-15,      36.033,
1986-03-15,      35.986,
1986-04-15,      35.900,
1986-05-15,      35.935,
1986-06-15,      36.016,
1986-07-15,      36.077,
1986-08-15,      36.134,
1986-09-15,      36.060,
1986-10-15,      36.018,
1986-11-15,      35.952,
1986-12-15,      35.956,
1987-01-15,      35.978,
