DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
1980-07-15,      36.075,
1980-08-15,      36.067,
1980-09-15,      35.977,
1980-10-15,      36.084,
1980-11-15,      35.823,
1980-12-15,      35.872,
1981-01-15,      35.882,
1981-02-15,      35.881,
1981-03-15,      35.905,
1981-04-15,      35.926,
1981-05-15,      35.935,
1981-06-15,      35.951,
1981-07-15,      36.045,
1981-08-15,      36.008,
1981-09-15,      36.029,
1981-10-15,      35.991,
1981-11-15,      36.004,
1981-12-15,      35.826,
1982-01-15,      35.855,
1982-02-15,      35.775,
1982-03-15,      35.687,
1982-04-15,      35.760,
1982-05-15,      35.786,
1982-06-15,      35.817,
1982-07-15,      35.931,
1982-08-15,      35.960,
1982-09-15,      35.951,
1982-10-15,      35.919,
1982-11-15,      35.913,
1982-12-15,      35.886,
1983-01-15,      35.844,
1983-02-15,      35.598,
1983-03-15,      36.237,
1983-04-15,      36.230,
1983-05-15,      36.222,
1983-06-15,      36.294,
1983-07-15,      36.134,
1983-08-15,      36.133,
1983-09-15,      36.096,
1983-10-15,      36.182,
1983-11-15,      36.070,
1983-12-15,      36.063,
1984-01-15,      36.016,
1984-02-15,      35.910,
1984-03-15,      35.807,
1984-04-15,      35.718,
1984-05-15,      35.744,
1984-06-15,      35.783,
1984-07-15,      35.952,
1984-08-15,      35.970,
1984-09-15,      35.961,
1984-10-15,      35.827,
1984-11-15,      35.908,
1984-12-15,      35.922,
1985-01-15,      35.931,
1985-02-15,      35.894,
1985-03-15,      35.836,
1985-04-15,      35.826,
1985-05-15,      35.919,
1985-06-15,      36.105,
1985-07-15,      36.045,
1985-08-15,      36.073,
1985-09-15,      36.145,
1985-10-15,      36.103,
1985-11-15,      36.037,
1985-12-15,      36.031,
1986-01-15,      36.051,
1986-02-15,      36.039,
1986-03-15,      35.997,
1986-04-15,      35.909,
1986-05-15,      35.939,
1986-06-15,      36.017,
1986-07-15,      36.085,
1986-08-15,      36.137,
1986-09-15,      36.055,
1986-10-15,      36.008,
1986-11-15,      35.942,
1986-12-15,      35.947,
1987-01-15,      35.964,
1987-02-15,      35.798,
1987-03-15,      35.894,
1987-04-15,      35.786,
1987-05-15,      35.813,
1987-06-15,      35.868,
1987-07-15,      35.891,
1987-08-15,      35.932,
1987-09-15,      35.924,
1987-10-15,      35.897,
1987-11-15,      36.197,
1987-12-15,      35.938,
1988-01-15,      36.082,
1988-02-15,      36.044,
1988-03-15,      36.004,
1988-04-15,      35.901,
1988-05-15,      35.993,
1988-06-15,      35.951,
1988-07-15,      36.087,
1988-08-15,      36.043,
1988-09-15,      36.037,
1988-10-15,      36.001,
1988-11-15,      35.964,
1988-12-15,      35.969,
1989-01-15,      36.029,
1989-02-15,      36.007,
1989-03-15,      36.022,
1989-04-15,      35.987,
1989-05-15,      35.986,
1989-06-15,      36.004,
1989-07-15,      36.050,
1989-08-15,      36.072,
1989-09-15,      36.072,
1989-10-15,      36.120,
1989-11-15,      36.087,
1989-12-15,      36.064,
1990-01-15,      35.981,
1990-02-15,      36.073,
1990-03-15,      35.981,
1990-04-15,      35.968,
1990-05-15,      35.973,
1990-06-15,      35.993,
1990-07-15,      35.831,
1990-08-15,      35.908,
1990-09-15,      35.927,
1990-10-15,      35.944,
1990-11-15,      35.916,
1990-12-15,      35.961,
1991-01-15,      36.020,
1991-02-15,      35.921,
1991-03-15,      35.886,
1991-04-15,      35.858,
1991-05-15,      35.877,
1991-06-15,      35.903,
1991-07-15,      35.956,
1991-08-15,      35.969,
1991-09-15,      35.943,
1991-10-15,      35.910,
1991-11-15,      35.871,
1991-12-15,      35.882,
1992-01-15,      35.897,
1992-02-15,      35.937,
1992-03-15,      35.900,
1992-04-15,      35.891,
1992-05-15,      35.872,
1992-06-15,      35.748,
1992-07-15,      35.881,
