DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
2006-12-15,       6.860,
2007-01-15,       5.460,
2007-02-15,       7.980,
2007-03-15,       5.000,
2007-04-15,       9.000,
2007-05-15,       6.330,
2007-06-15,       6.260,
2007-08-15,       5.750,
2007-09-15,       5.750,
2007-10-15,       5.530,
2007-11-15,       3.570,
2007-12-15,       1.920,
2008-02-15,       6.160,
2008-03-15,       7.540,
2008-04-15,       8.240,
2008-05-15,       8.460,
2008-06-15,       8.050,
2008-07-15,       6.340,
2008-08-15,       8.490,
2008-09-15,       6.750,
2008-10-15,       3.360,
2008-12-15,       3.560,
2009-01-15,       8.170,
2009-02-15,       8.620,
2009-03-15,       8.870,
2009-04-15,       8.380,
2009-05-15,       8.370,
2009-06-15,       6.590,
2009-07-15,       6.840,
2009-08-15,       5.500,
2009-09-15,       7.320,
2009-10-15,       7.200,
2009-11-15,       7.980,
2009-12-15,       4.130,
2010-01-15,       4.240,
2010-02-15,       5.340,
2010-03-15,       8.630,
2010-04-15,       7.520,
2010-05-15,       8.480,
2010-06-15,       9.630,
2010-07-15,       6.650,
2010-08-15,       6.050,
2010-09-15,       5.760,
2010-10-15,       7.340,
2010-11-15,       6.880,
2010-12-15,       7.550,
2011-01-15,       6.870,
2011-02-15,       6.200,
2011-03-15,       9.720,
2011-04-15,       9.420,
2011-05-15,       5.780,
2011-06-15,       4.940,
2011-07-15,       4.330,
2011-09-15,       5.400,
2011-10-15,       6.200,
2011-11-15,       5.550,
2011-12-15,       4.460,
2012-01-15,       8.930,
2012-03-15,       4.100,
2012-05-15,       4.500,
2012-06-15,       9.440,
2012-07-15,       4.310,
2012-08-15,       4.920,
2013-05-15,      11.800,
2013-07-15,       6.200,
2013-12-15,       5.110,
2014-01-15,       5.520,
2014-02-15,       7.000,
2014-03-15,       6.690,
2014-04-15,       6.520,
2014-05-15,      10.750,
2014-06-15,       9.140,
2014-07-15,       5.270,
2014-08-15,       2.270,
2014-09-15,       1.840,
2014-11-15,       8.430,
2014-12-15,       6.700,
2015-01-15,       8.000,
2015-02-15,       7.450,
2015-03-15,       8.500,
2015-04-15,       3.600,
2015-05-15,       7.450,
2015-06-15,       9.000,
2015-07-15,       8.700,
2015-11-15,       6.830,
2015-12-15,       5.500,
2016-01-15,       6.080,
2016-02-15,      10.010,
2016-03-15,       8.000,
2016-04-15,       9.210,
2016-05-15,       8.680,
2016-06-15,       7.990,
2016-07-15,       9.270,
2016-08-15,       6.280,
2016-09-15,       5.150,
2017-01-15,       7.890,
2017-02-15,       7.330,
2017-03-15,       8.200,
2017-04-15,       8.670,
2017-05-15,       9.000,
2017-06-15,       8.810,
2017-12-15,       5.650,
